airport_code,airport_name_en,country_code,airport_name_ar
UBJ,Yamaguchi Ube Airport,JP,مطار ياماغوتشي أوبي
TNN,Tainan Airport,TW,المطار تاينان
MMJ,Matsumoto Airport,JP,مطار ماتسوموتو
TTT,Taitung Airport,TW,مطار تايتونج
OKI,Oki Airport,JP,مطار أوكي
YGZ,Grise Fiord Airport,CA,مطار جرايس زقاق بحري
KLG,Kalskag Airport,US,مطار كالسكاغ
TSJ,Tsushima Airport,JP,مطار تسوشيما
YGJ,Miho Yonago Airport,JP,مطار ميهو يوناغو
WJU,Wonju Airport,KR,مطار نجو
MZG,Makung Airport,TW,مطار ماجونغ
CJJ,Cheongju International Airport,KR,مطار تشونج جو الدولي
KCZ,Kchi Ryma Airport,JP,مطار كيشي ريما
VNS,Lal Bahadur Shastri Airport,IN,لال بهادور شاستري مطار
WIL,Wilson Airport Kenya,KE,ويلسون مطار كينيا
KMQ,Komatsu Airport,JP,مطار كوماتسو
CNM,Cavern City Air Terminal,US,كهف محطة المدينة الجوية
CRK,Diosdado Macapagal International Airport,PH,مطار ديوسدادو ماكاباجال الدولي
DGT,Sibulan Airport,PH,مطار سيبولان
KZI,Filippos Airport,GR,مطار فيليبوس
LAO,Laoag International Airport,PH,مطار اواج الدولية
HIN,Sacheon Air Base,KR,القاعدة الجوية ساتشيون
BVB,Boa Vista International Airport,BR,مطار بوا فيستا الدولية
CBO,Awang Airport,PH,مطار أوانغ
ASO,Asosa Airport,ET,مطار اسوسا في
FSZ,Mt Fuji Shizuoka Airport,JP,جبل فوجي مطار شيزوكا
DVL,Devils Lake Regional Airport,US,مطار بحيرة الشياطين الإقليمي
BJZ,Badajoz Airport,ES,مطار بطليوس
WNP,Naga Airport,PH,مطار النجا
OZC,Labo Airport,PH,مطار لابو
CYZ,Cauayan Airport,PH,مطار كاويان
SJI,San Jose Airport,PH,مطار سان خوسيه
FKS,Fukushima Airport,JP,مطار فوكوشيما
KGX,Grayling Airport,US,مطار جرايلينج
TXK,Texarkana Regional Airport,US,مطار تيكساركانا الإقليمي
UDR,Maharana Pratap Airport,IN,مطار مهارانا براتاب
DCA,Ronald Reagan Washington National Airport,US,مطار رونالد ريغان الوطني
TAE,Daegu Airport,KR,مطار دايجو
OLF,L M Clayton Airport,US,مطار LM كلايتون
IAG,Niagara Falls International Airport,US,مطار شلالات نياجرا الدولية
VGA,Vijayawada Airport,IN,مطار فيجاياوادا
GYS,Guangyuan Airport,CN,مطار قوانغ يوان
TEE,Cheikh Larbi Tcbessi Airport,DZ,مطار الشيخ العربي تكبيسي
YHO,Hopedale Airport,CA,مطار هوبديل
CYP,Calbayog Airport,PH,مطار كالبايوج
CRM,Catarman National Airport,PH,مطار كاترمان ناشونال
AFA,Suboficial Ay Santiago Germano Airport,AR,مطار سوبوفشال آي سانتياغو جيرمانو
IRJ,Capitan V A Almonacid Airport,AR,مطار كابيتان V A ألموناسيد
SDE,Vicecomodoro Angel D La Paz Aragoncs Airport,AR,مطار ملاك كيكومودورو دي لا باز اغونس
TID,Bou Chekif Airport,DZ,مطار بو شاكيف
IXS,Silchar Airport,IN,مطار سلشار
KER,Kerman International Airport,IR,مطار كرمان الدولي
TAC,Daniel Z Romualdez Airport,PH,مطار دانيل زد روموالدز
BLK,Blackpool International Airport,GB,مطار بلاكبول الدولي
RAJ,Rajkot Airport,IN,مطار راجكوت
OAG,Orange Airport,AU,مطار البرتقال
SUJ,Satu Mare Airport,RO,مطار ساتو ماري
EQS,Brigadier Antonio Parodi Airport,AR,مطار العميد أنطونيو بارودي
KPR,Port Williams Seaplane Base,US,ميناء قاعدة الطائرة المائية وليامز
CRD,General E Mosconi Airport,AR,مطار E موسكوني العام
FEN,Fernando De Noronha Airport,BR,مطار فرناندو دي نورونا
SFB,Orlando Sanford International Airport,US,مطار أورلاندو سانفورد الدولي
CAC,Cascavel Airport,BR,مطار كاسكافيل
LUQ,Brigadier Mayor D Cesar Raul Ojeda Airport,AR,مطار العميد عمدة D سيزار راؤول أوخيدا
HTY,Hatay Airport,TR,مطار هاتاي
TIN,Tindouf Airport,DZ,مطار تندوف
EBH,El Bayadh Airport,DZ,مطار البيضة 
NQN,Presidente Peron Airport,AR,مطار سيادة الرئيس بيرون
REL,Almirante Marco Andres Zar Airport,AR,مطار ألميرانتي ماركو اندريس ذر
UAQ,Domingo Faustino Sarmiento Airport,AR,مطار دومينغو فاوستينو سارمينتو
HNL,Honolulu International Airport,US,مطار هونولولو الدولي
YIF,St Augustin Airport,CA,مطار سانت أوغستين
AXU,Axum Airport,ET,مطار أكسوم
DNH,Dunhuang Airport,CN,مطار دونهوانغ
SCU,Antonio Maceo International Airport,CU,مطار أنطونيو ماسيو الدولي
RIA,Santa Maria Airport,BR,مطار ماريا سانتا
JDO,Orlando Bezerra De Menezes Airport,BR,مطار أورلاندو بيزيرا دي مينيزيس
YYZ,Toronto Pearson International Airport,CA,مطار تورونتو بيرسون الدولي
RDU,Raleigh-durham International Airport,US,مطار رالي دورهام الدولي
BMW,Bordj Badji Mokhtar Airport,DZ,مطار برج باجي مختار
BHJ,Bhuj Airport,IN,مطار بهوج
RBR,Plcido De Castro Airport,BR,مطار بلاسيدو دي كاسترو
ICI,Cicia Airport,FJ,مطار سيسيا
HOG,Frank Pais International Airport,CU,مطار فرانك باييس الدولي
IND,Indianapolis International Airport,US,مطار إنديانابوليس الدولي
YMN,Makkovik Airport,CA,مطار ماكوفيك
MGS,Mangaia Island Airport,CK,مطار جزيرة منغايا
YBP,Yibin Caiba Airport,CN,مطار ييبين كايبا
MST,Maastricht Aachen Airport,NL,مطار ماستريخت آخن
TEB,Teterboro Airport,US,مطار تتربورو
SVC,Grant County Airport,US,مطار كنتري غرانت
OSL,Oslo Airport,NO,مطار أوسلو
VDC,Vitria Da Conquista Airport,BR,مطار دا كونكيستا فيتريا
TGC,Tanjung Manis Airport,MY,مطار تانجونج مانيس
VCV,Southern California Logistics Airport,US,مطار جنوب كاليفورنيا اللوجستية
BHU,Bhavnagar Airport,IN,مطار بهافناغار
UBA,Mrio De Almeida Franco Airport,BR,مطار ماريو دي ألميدا فرانكو
YFA,Fort Albany Airport,CA,مطار فورت ألباني
FLA,Gustavo Artunduaga Paredes Airport,CO,مطار غوستافو ارتونداغا باريديس
BUF,Buffalo Niagara International Airport,US,مطار بافالو نياجرا الدولي
INZ,In Salah Airport,DZ,مطار ان صلاح
RIG,Rio Grande Airport,BR,مطار ريو غراند
SGG,Simanggang Airport,MY,مطار سيمانغانغ
SRE,Juana Azurduy De Padilla Airport,BO,مطار خوانا أثوردي دي باديلا
PEG,Perugia San Francesco Dassisi - Umbria International Airport,IT,بيروجيا سان فرانشيسكو داسيسي - مطار أومبريا الدولي
SRZ,El Trompillo Airport,BO,مطار ال ترومبيللو
HME,Oued Irara Airport,DZ,مطار واد ارارا
LET,Alfredo Vsquez Cobo International Airport,CO,مطار ألفريدو فاسكيس كوبو الدولي
OGX,Ain El Beida Airport,DZ,مطار العين البيضا
TCO,La Florida Airport,CO,مطار لا فلوريدا
BUN,Gerardo Tobar Lpez Airport,CO,مطار جيراردو طوبار لوبيز
PCR,German Olano Airport,CO,مطار اولانو الألماني 
MVP,Fabio Alberto Leon Bentley Airport,CO,مطار فابيو البرتو ليون بنتلي
PDA,Obando Airport,CO,مطار أوباندو
CHC,Christchurch International Airport,NZ,مطار كرايستشيرش الدولي
PSZ,Capitn Av Salvador Ogaya G Airport,BO,مطار كابتن اف سلفادور اوغايا 
BRA,Barreiras Airport,SR,مطار باريراس
POI,Capitan Nicolas Rojas Airport,BO,مطار كابيتان نيكولاس روخاس
PYH,Cacique Aramare Airport,VE,مطار كاسيك ارمير
TMX,Timimoun Airport,DZ,مطار تيميمون
TGR,Touggourt Sidi Madhi Airport,DZ,مطار تقرت سيدي ماضي
EGM,Sege Airport,SB,مطار سيغي
JNS,Narsaq Heliport,GL,مهبط نارساك
ULB,Ulci Airport,VU,مطار اولكي
SGY,Skagway Airport,US,مطار سكاغواي
OOK,Toksook Bay Airport,US,مطار توكسوك باي
RIB,Capitn Av Selin Zeitun Lopez Airport,BO,كابتن أف سيلين مطار زيتون لوبيز
RPR,Raipur Airport,IN,مطار رايبور
CIJ,Capitn An-bal Arab Airport,BO,مطار كابتن إن-الكرة العربية
PPN,Guillermo Len Valencia Airport,CO,مطار غييرمو ليون فالنسيا
VTZ,Vishakhapatnam Airport,IN,مطار فيشاخاباتنام
UET,Quetta International Airport,PK,مطار كويتا الدولية
WRI,Mc Guire Air Force Base,US,مولودية قاعدة سلاح الجو جوير
WYS,Yellowstone Airport,IE,مطار يلوستون
BYC,Yacuiba Airport,BO,مطار يعقوبيا
AYP,Coronel Fap Alfredo Mendivil Duarte Airport,PE,كورونيل يندرج ألفريدو مطار منديفيل دوارتي
IAM,In Amcnas Airport,DZ, مطار امكناس
CUM,Cuman Antonio Josc De Sucre Airport,VE,كومانا أنطونيو جوسك مطار دي سوكري
YGL,La Grande Rivire Airport,CA,مطار لا غراندي ريفاير
CAJ,Canaima Airport,VE,مطار كانيما
MRD,Alberto Carnevalli Airport,VE,مطار ألبيرتو كارنيفالي
AWD,Aniwa Airport,VU,مطار انيوا
ANS,Andahuaylas Airport,PE,مطار انداهو ايلاس
JCB,Santa Terezinha Airport,BR,مطار سانتا تيريزينها
PBI,Palm Beach International Airport,US,مطار بالم بيتش الدولي
KWF,Waterfall Seaplane Base,US,قاعدة الطائرة المائية شلال
CBS,Oro Negro Airport,VE,مطار أورو نيغرو
SPY,San Pedro Airport,CI,مطار سان بيدرو
VPS,Northwest Florida Regional Airport,US,شمال غرب مطار فلوريدا الإقليمي
SFD,San Fernando De Apure Airport,VE,سان فرناندو دي مطار أبور
QSF,Ain Arnat Airport,DZ,مطار عين أرنات
OSI,Osijek Airport,HR,مطار أوسييك
SOM,San Tome Airport,VE,مطار سان تومي
SNV,Santa Elena De Uairen Airport,VE,ايلينا مطار سانتا دي يورين
KWP,West Point Village Seaplane Base,US,"قريه النقطه الغربيه , قاعده الطائره المائيه"
FTA,Futuna Airport,VU,مطار فوتونا
FBE,Francisco Beltro Airport,BR,مطار فرانسيسكو بيلترو
OPS,Presidente Joo Batista Figueiredo Airport,VE,مطار سيادة الرئيس جو باتيستا فيغيريدو
MJF,Areopuerto Internacional Islas Michael,NO, انترناسيونال اريبيرتو جزر مايكل
STD,Mayor Buenaventura Vivas International Airport,VE,مطار بلدية بوينافينتورا فيفاس الدولية
KNQ,Konc Airport,NC,مطار كونك
KOV,Kokshetau Airport,KZ,مطار كوكشيتو
RJL,Logroo-agoncillo Airport,ES,مطار لوغرو اغونكيلو
TCT,Takotna Airport,BB,مطار تاكونتا
OLB,Olbia - Costa Smeralda Airport,IT,أولبيا - مطار كوستا سميرالدا
VQS,Antonio Rivera Rodriguez Airport,PR,أنطونيو مطار ريفيرا رودريجيز
BLJ,Batna Airport,DZ,مطار باتنة
KGF,Sary-arka Airport,KZ,مطار ساري عرقه
YQQ,Cfb Comox Airport,CA,مطار الواثق كوموكس
LEN,Leon Airport,ES,مطار ليون
CNQ,Corrientes Airport,AR,مطار كورينتس
IWD,Gogebic-iron County Airport,US,مطار مقاطعة أيرونود الحديد
DSM,Des Moines International Airport,US,مطار دي موين الدولي
CIT,Shymkent Airport,KZ,مطار شيمكنت
PGA,Page Municipal Airport,US,مطار بيج مونيسابيال
FCA,Glacier Park International Airport,US,مطار غلاسيار بارك الدولي
PMR,Palmerston North Airport,NZ,مطار بالمرستون نورث
GYN,Santa Genoveva Airport,BR,مطار سانتا جيونوفا
CPH,Copenhagen Airport,DK,مطار كوبنهاجن
KZO,Kzyl-orda Southwest Airport,KZ,مطار كيزل جوردا جنوب غرب
BRR,Barra Airport,GB,مطار بارا
YGV,Havre St Pierre Airport,CA,هافر سانت بيير
VLL,Valladolid Airport,ES,مطار بلد الوليد
UKK,Ust-kamennogorsk Airport,KZ,أوست-كامينوغورسك مطار
TOF,Bogashevo Airport,RU,مطار بوغاشيفو
YGP,Gaspc Michel-pouliot Airport,CA,مطار غاسب ميشيل بوليو
AGF,Agen-la Garenne Airport,FR,آجا-لا مطار جارين
YTE,Cape Dorset Airport,CA,مطار كيب دورست
URA,Uralsk Airport,KZ,مطار اورا ليسك
NBE,Enfidha - Hammamet International Airport,NO,النفيضة - مطار حمامة الدولي
VVO,Vladivostok International Airport,RU,مطار فلاديفوستوك الدولية
UUS,Yuzhno-sakhalinsk Airport,RU,يوجنو ساخالينسك
VIT,Vitoria-foronda Airport,ES,فيتوريا-فوروندا مطار
GME,Gomel Airport,BY,مطار غوميل
IBA,Ibadan Airport,NG,مطار أبيدجان
DAL,Dallas Love Field,US,دالاس لاف فيلد
ARH,Talagi Airport,RU,مطار تالاقيا
UKX,Ust-kut Airport,RU,أوست-الكوت مطار
HTA,Chita-kadala Airport,RU,مطار تشيتا كادالا
NNM,Naryan Mar Airport,RU,مطار نارايم-مار
MJZ,Mirny Airport,RU,مطار ميرني
ZAZ,Zaragoza Air Base,ES,القاعدة الجوية سرقسطة
KSN,Kostanay West Airport,KZ,مطار كوستاناي في الغرب
IAS,Iai International Airport,RO,مطار الجيش الإسلامي في العراق الدولية
ILR,Ilorin International Airport,NG,مطار إلورين الدولية
PPQ,Paraparaumu Airport,NZ,مطار باراباراومو
BUD,Budapest Ferenc Liszt International Airport,HU,مطار بودابست فرانز ليست الدولي
PIS,Poitiers-biard Airport,FR,مطار بواتيه-بيارد
NSK,Norilsk-alykel Airport,RU,مطار الخيل نوريلسك
FBD,Faizabad Airport,AF,مطار فايز آباد
UGB,Ugashik Bay Airport,UG,مطار اوغاشيك خليج
NOZ,Spichenkovo Airport,RU,مطار سبيتشينكوفو
EGC,Bergerac-roumanire Airport,FR,مطار برجراك روانيار
KUT,Kopitnari Airport,GE,مطار كوبيتناري
DUS,Dsseldorf Airport,DE,مطار دوسلدورف
OGZ,Beslan Airport,RU,مطار بيسلان
VRC,Virac Airport,PH,مطار فيراك
ABT,Al Baha Airport,SA,مطار الباحة
JAV,Ilulissat Airport,GL,مطار ايلوليسات
PRA,General Urquiza Airport,US,مطار عامة كاروكا
ABA,Abakan Airport,RU,مطار أباكان
YAX,Wapekeka Airport,CA,مطار وابيكيكا
NGO,Chbu Centrair International Airport,JP,مطار تشبو سنترير الدولي
YUB,Tuktoyaktuk Airport,CA,مطار توكتوياكتوك
DQA,Saertu Airport,DO,مطار سيرتو
ELI,Elim Airport,US,مطار إيليم
IRM,Igrim Airport,RU,مطار اغريم
HMA,Khanty Mansiysk Airport,RU,مطار خانتي مانسيسك
NYM,Nadym Airport,RU,مطار ناديم
STW,Stavropol Shpakovskoye Airport,RU,مطار ستافروبول شباكوفسكوي
EZV,Berezovo Airport,RU,مطار بيريزفو
NYA,Nyagan Airport,RU,مطار نياغان
KVX,Pobedilovo Airport,RU,مطار بوبيديلوفو
KCT,Koggala Airport,LK,مطار كوغالا
KIT,Kithira Island National Airport,GR,مطار جزيرة كيثيرا الوطنية
ANE,Angers-loire Airport,FR,مطار انجرس لوير
DWD,Dawadmi Domestic Airport,SA,مطار الدوادمي المحلي
KYZ,Kyzyl Airport,RU,مطار كيزيل
OMR,Oradea International Airport,RO,مطار أوراديا الدولي
AJA,Ajaccio-napolcon Bonaparte Airport,FR,مطار اجاكسيو نابليون بونابرت
FEG,Fergana International Airport,UZ,مطار فرغانة الدولي
KSQ,Karshi Khanabad Airport,UZ,مطار كارشي خان آباد
ILP,Le Des Pins Airport,NC,مطار لو دس بينس 
TMJ,Termez Airport,UZ,مطار ترمذ
NOJ,Noyabrsk Airport,RU,مطار نويابرسك
SKD,Samarkand Airport,UZ,مطار سمرقند
JOK,Yoshkar-ola Airport,RU,مطار يوشكار-أولا 
KRO,Kurgan Airport,RU,مطار كورغان
NCU,Nukus Airport,UZ,مطار نوكوس
BZK,Bryansk Airport,RU,مطار بريانسك
FAR,Hector International Airport,US,مطار هيكتور الدولي
BEG,Belgrade Nikola Tesla Airport,RS,مطار بلغراد نيكولا تيسلا
TPP,Cadete Fap Guillermo Del Castillo Paredes Airport,PE,مطار كاديت فاب غييرمو ديل كاستيلو باريديس
DYU,Dushanbe Airport,TJ,مطار دوشنبه
UGC,Urgench Airport,UZ,مطار اورغنش
DRS,Dresden Airport,DE,مطار درسدن
CXB,Coxs Bazar Airport,BD,مطار كوكس بازار
PLM,Sultan Mahmud Badaruddin Ii International Airport,ID,مطار السلطان محمود بدر الدين الثاني الدولي
VKT,Vorkuta Airport,RU,مطار فوركوتا
MAF,Midland International Airport,US,مطار ميدلاند الدولي
UUA,Bugulma Airport,RU,مطار بلجيوما
AZR,Touat Cheikh Sidi Mohamed Belkebir Airport,DZ,مطار توات-شيخ سيدي محمد لكبير
URS,Kursk East Airport,RU,مطار كورسك ايست
SNR,Saint-nazaire-montoir Airport,FR,مطار سان نازير-مونتور 
OSW,Orsk Airport,RU,مطار أورسك
UTS,Ust-tsylma Airport,RU,مطار اوست تسيلما
REN,Orenburg Central Airport,RU,مطار أورينبورغ المركزي
YBC,Baie-comeau Airport,CA,مطار باي كومو 
ERF,Erfurt-weimar Airport,DE, مطار إرفورت-وايمار
AVL,Asheville Regional Airport,US,مطار أشفيل الإقليمي
SPS,Wichita Falls Municipal Airport,US,مطار ويتشيتا فولز المحلي
FGI,Fagalii Airport,WS,مطار فاغالي
JSR,Jessore Airport,BD,مطار جيسوري
ODY,Oudomsay Airport,LA,مطار اودومساي
XKH,Xieng Khouang Airport,LA,المطار كسينغ خوانغ
MWA,Williamson County Regional Airport,US,مطار ويليامسون مقاطعة الإقليمي
ZYL,Osmany International Airport,BD,مطار عثمانى الدولي
IRD,Ishurdi Airport,BD,مطار اشوردي
PBU,Putao Airport,MM,مطار بواتاو
TRR,China Bay Airport,LK,مطار خليج الصين 
PZH,Zhob Airport,PK,مطار زوب
KOS,Sihanoukville International Airport,US,مطار سيهانوكفيل الدولي
VDH,Dong Hoi Airport,CN,مطار دونغ هوي
FSP,St Pierre Airport,PM,مطار سانت بيير
CGR,Campo Grande Airport,BR,مطار كامبو غراند
VAM,Villa Airport,MV,مطار فيلا
BWI,Baltimore-washington International Airport,US,مطار بالتيمور واشنطن الدولي
ZQW,Zweibr 1-4 Cken Airport,DE,مطار زويبر 1-4 كين 
LOE,Loei Airport,TH,مطار لويي
TJM,Roshchino International Airport,RU,مطار روشتشينو الدولي
HAQ,Hanimaadhoo Airport,MV,مطار هانيمادو 
IPC,Mataveri International Airport,CL,مطار ماتافيري الدولي  
HDF,Heringsdorf Airport,DE,مطار هيرينجسدورف
JAN,Jackson-evers International Airport,US,مطار جاكسون إيفرز الدولي
YXL,Sioux Lookout Airport,CA,مطار سيوكس لوك اوت
KKC,Khon Kaen Airport,TH,مطار خون كاين
LPT,Lampang Airport,TH,مطار امبانج
MAQ,Mae Sot Airport,TH,مطار ماي سوت
FMM,Memmingen Allgau Airport,DE,مطار ميمينجن الغاو
MYR,Myrtle Beach International Airport,US,مطار ميرتل بيتش الدولي
HEH,Heho Airport,MM,مطار هيهو
TBB,Dong Tac Airport,VN,مطار دونغ تانغ
KET,Kengtung Airport,MM,مطار كنغ تانغ
KOP,Nakhon Phanom Airport,TH,مطار ناخون فانوم
DIN,Dien Bien Phu Airport,VN,مطار ديان بيان فو
KLL,Levelock Airport,US,مطار ليفيلوك
VCL,Chu Lai International Airport,VN,مطار تشو لاي الدولي
PUS,Gimhae International Airport,KR,مطار جيمهاي الدولي
UIH,Phu Cat Airport,VN,مطار فو كات
MYT,Myitkyina Airport,MM,مطار ميتكيينا
VCS,Co Ong Airport,VN,مطار كو اونج
NBW,Guantanamo Bay Naval Base Airport,CU,مطار خليج غوانتانامو نافال بيس
DEB,Debrecen International Airport,HU,مطار ديبريسين الدولي
CMF,Chambry Airport,FR,مطار تشامبري
JSI,Skiathos Island National Airport,GR,مطار سكياثوس ايسلاند الوطني
VCP,Viracopos International Airport,BR,مطار فيراكوبوس الدولي
SOB,Srmellck International Airport,HU,مطار سرميللك الدولي
PMV,Del Caribe Santiago Mario International Airport,VE,مطار سانتياغو دل كاريبي ماريو الدولي
JTY,Astypalaia Airport,GR,مطار أستيباليا
NYU,Bagan Airport,MM,مطار باغان
BMO,Banmaw Airport,MM,مطار Banmaw
OKL,Oksibil Airport,ID,مطار اوكسيبيل
KMV,Kalay Airport,MM,مطار كالاي
BEJ,Baraukalimaru Airport,ID,مطار باراكوليمارو
BPN,Sultan Aji Muhamad Sulaiman Airport,ID,سلطان العاجي مطار محمد سليمان
MKQ,Mopah Airport,ID,مطار موباه
FOG,Foggia - Gino Lisa Airport,IT,فوجيا - مطار جينو ليزا
WMX,Wamena Airport,ID,مطار وامينا
BIK,Frans Kaisiepo Airport,ID,مطار فرانس كايزييبو
TAY,Tartu Airport,EE,تارتو
VKG,Rach Gia Airport,VN,مطار راش غيا
TMC,Tambolaka Airport,ID,مطار تامبولاكا
DRW,Darwin International Airport,AU,مطار داروين الدولي
CLY,Calvi-sainte-catherine Airport,FR,كالفي-سانت كاترين مطار
SRG,Achmad Yani Airport,ID,مطار أحمد ياني
SXM,Princess Juliana International Airport,SX,مطار الأميرة جوليانا الدولي
PKY,Tjilik Riwut Airport,ID,مطار تجيليك ريفوت
RMI,Rimini - Miramare - Federico Fellini International Airport,IT,ريميني - ميرامار - مطار فيديريكو فيليني الدولي
GSE,Gteborg City Airport,SE,مطار غوتبورغ مدينة
LUV,Dumatumbun Airport,ID,مطار دوماتومبان
GTO,Jalaluddin Airport,ID,مطار جلال الدين
DOB,Rar Gwamar Airport,ID,مطار رار غومار
JOG,Adi Sutjipto International Airport,ID,مطار أدي سوتجيبتو الدولية
SOC,Adi Sumarmo Wiryokusumo Airport,ID,مطار عدي سومارمو ويريوكوسمو
KOE,El Tari Airport,ID,مطار الطاري
KAO,Kuusamo Airport,FI,مطار كوسامو
MKW,Rendani Airport,ID,مطار رنداني
STT,Cyril E King Airport,VI,مطار سيريل E كينغ
NVA,Benito Salas Airport,CO,مطار بينيتو سالاس
BKM,Bakalalan Airport,MY,مطار بكالالان
DJB,Sultan Thaha Airport,ID,مطار السلطان طه
MFM,Macau International Airport,MO,مطار ماكاو الدولي
ACE,Lanzarote Airport,ES,مطار لانزاروت
BUW,Betoambari Airport,ID,مطار بيتومباري
BTU,Bintulu Airport,MY,مطار بينتولو
MUR,Marudi Airport,MY,مطار مارودي
KDI,Wolter Monginsidi Airport,ID,مطار وولتر مونغيسيدي
LGL,Long Lellang Airport,MY,مطار لونغ ليلاند
LKH,Long Akah Airport,MY,مطار لونغ اكاه
SLA,Martin Miguel De Guemes International Airport,AR,ميغيل مطار مارتن دي جويميس الدولي
MGF,Regional De Maring - S-lvio Nane Junior Airport,BR,مطار دي مارينغ- اس ليفيو نان الاقليمي
AOI,Ancona - Falconara Airport,IT,أنكونا - مطار فالكونارا
TWU,Tawau Airport,MY,مطار تاواو
AUA,Queen Beatrix International Airport,AW,مطار الملكة بياتريكس الدولي
ELC,Elcho Island Airport,AU,مطار جزيرة إلتشو
PGK,Pangkal Pinang Depati Amir Airport,ID,بانغكال بينانغ أمير مطار ديباتي
