airport_code,city_code,airport_name,address_en,webisite,phone
SOC,SOC,Adi Sumarmo Wiryokusumo Airport,,,
KOE,KOE,El Tari Airport,,,
KAO,KAO,Kuusamo Airport,,,
PSA,PSA,Pisa International Airport,"""Galileo Galilei Airport",http://www.pisa-airport.com/,(+39) 050 849111
ASF,ASF,Astrakhan Airport,,,
ANI,ANI,Aniak Airport,"""Aniak",https://nfdc.faa.gov/nfdcApps/airportLookup/airportDisplay.jsp?airportId=ANI,(+1 907)-266-0151
JDZ,JDZ,Jingdezhen Airport,,,
NJC,NJC,Nizhnevartovsk Airport,"""628600",http://www.nvavia.ru/,(3466) 46-86-66
MSL,MSL,Northwest Alabama Regional Airport,"""1729 T Ed Campbell Dr",http://www.flytheshoals.com/,(+1) 256-381-2869
BKS,BKS,Padang Kemiling Fatmawati Soekarno Airport,,,
DZN,DZN,Zhezkazgan Airport,,,
MKW,MKW,Rendani Airport,,,
STT,STT,Cyril E King Airport,"""Airport Rd",,(+1 340)-774-5100
LGG,LGG,Lige Airport,,,
NVA,NVA,Benito Salas Airport,,,
BKM,BKM,Bakalalan Airport,,,
DJB,DJB,Sultan Thaha Airport,,,
MFM,MFM,Macau International Airport,"""Taipa",http://www.macau-airport.com/en/,(+853) 2886 1111
ACE,ACE,Lanzarote Airport,"""Arrecife Ciudad",http://www.aena-aeropuertos.es/csee/Satellite/telefono-contacto-aena-aeropuertos/es/Telefono-Informacion-y-Contacto-de-Aena-Aeropuertos.html,(+34) 902 40 47 04
BUW,KOE,Betoambari Airport,,,
BTU,BTU,Bintulu Airport,,,
RES,RES,Resistencia International Airport,"""Ruta Nacional 11",http://www.aa2000.com.ar/,(54 3624) 44 6009
FLG,GCN,Flagstaff Pulliam Airport,"""6200 S Pulliam Dr #204",http://www.flagstaff.az.gov/,(+1) 928-556-1234
LUG,LUG,Lugano Airport,"""Via Aeroporto",http://www.lugano-airport.ch,NA
JIK,JIK,Ikaria Island National Airport,"""Ikaria 833 00",,NA
CWB,CWB,Afonso Pena International Airport,"""Av. Rocha Pombo",http://www.infraero.gov.br/index.php/us/airports/parana/afonso-pena-airport.html,(+55) 41 3381-1515
SYZ,SYZ,Shiraz Shahid Dastghaib International Airport,,,
MUR,MUR,Marudi Airport,,,
KDI,KDI,Wolter Monginsidi Airport,,,
LGL,LGL,Long Lellang Airport,,,
LKH,LKH,Long Akah Airport,,,
SLA,SLA,Martin Miguel De Guemes International Airport,,,
MGF,MGF,Regional De Maring - S-lvio Nane Junior Airport,,,
AOI,AOI,Ancona - Falconara Airport,,,
TWU,TWU,Tawau Airport,,,
AUA,AUA,Queen Beatrix International Airport,"""Oranjestad",http://www.airportaruba.com/,(+297)  524 24 24
GRQ,GRQ,Groningen Airport Eelde,"""Machlaan 14a",http://www.groningenairport.nl/en/,(+31) 50 308 0850
LRT,LRT,Lorient South Brittany Airport,"""56270 Ploemeur",http://www.lorient.aeroport.fr/,(+33) 2 97 87 21 50
BPT,BPT,Jack Brooks Regional Airport,"""N Hwy 69 Nederland",http://flysetx.com/,(+1) 409-719-4900
HSN,HSN,Zhoushan Airport,,,
GGW,GGW,Glasgow Airport Us,"""100 Airport Rd",http://www.glasgowairport.com/,(+1) 406-228-8495
RHO,RHO,Rhodes International Airport,"""Diagoras 851 06",,(+30) 2241 088700
DMB,DMB,Taraz Airport,,,
IAD,WAS,Washington Dulles International Airport,"""1 Saarinen Cir",http://www.mwaa.com/dulles/dulles.htm,(+1) 703-572-2700
ELC,ELC,Elcho Island Airport,,,
PGK,PGK,Pangkal Pinang Depati Amir Airport,,,
SDK,SDK,Sandakan Airport,,,
ALH,ALH,Albany Airport,,,
ARM,ARM,Armidale Airport,,,
TKG,TKG,Radin Inten Ii Branti Airport,,,
KTG,KTG,Ketapangrahadi Usman Airport,,,
YNS,YNS,Nemiscau Airport,,,
EPR,EPR,Esperance Airport,,,
BTJ,BTJ,Sultan Iskandar Muda International Airport,,,
TGU,TGU,Toncontn International Airport,"""CA-5",,(+504) 2234-2402
SWF,SWF,Stewart International Airport,"""1180 1st St",,(+1) 845-838-8200
TTE,TTE,Sultan Khairun Babullah Airport,,,
YIK,YIK,Ivujivik Airport,,,
JSY,JSY,Syros Island National Airport,"""Syros",,(+30) 2281 084424
MJM,MJM,Mbuji Mayi Airport,,,
URG,URG,Rubem Berta Airport,,,
GIB,GIB,Gibraltar International Airport,"""British Lines Road",http://www.gibraltarairport.gi/,(+350) 200 12345
CNJ,CNJ,Cloncurry Airport,,,
DIL,DIL,Presidente Nicolau Lobato International Airport,,,
PSU,PSU,Pangsuma Airport,,,
WWT,SIN,Newtok Seaplane Base,,,
BCI,BCI,Barcaldine Airport,,,
TNJ,TNJ,Kijang Airport,,,
BTH,BTH,Hang Nadim Airport,,,
SBW,SBW,Sibu Airport,,,
OSO,OAG,Osborne Mine Airport,,,
KOJ,KOJ,Kagoshima Airport,"""８２２ Mizobechofumoto",http://www.koj-ab.co.jp/english/,(+81) 995-58-2740
PUG,PUG,Port Augusta Airport,,,
PSO,PSO,Antonio Nario Airport,"""Pasto",,NA
YQX,YQX,Gander International Airport,"""1000 James Boulevard",http://www.ganderairport.com/,(+1) 709-256-6666
HPH,HPH,Cat Bi International Airport,,,
BHI,BHI,Comandante Espora Airport,"""Bahía Blanca",,NA
TBU,TBU,Fuaamotu International Airport,"""Fuaamotu",,NA
NDU,OMD,Rundu Airport,,,
LUX,LUX,Luxembourg Findel Airport,"""4 Rue de Treves",http://www.lux-airport.lu/en/Home.1.html,(+352) 2464 0
KHE,UDJ,Chernobayevka Airport,,,
MCV,MCV,Mcarthur River Mine Airport,,,
GKK,MLE,Kooddoo Airport,,,
RDN,RDN,Lts Pulau Redang Airport,,,
GTS,FOT,Granite Downs Airport,,,
NAC,NAC,Naracoorte Airport,,,
RVT,NAC,Ravensthorpe Airport,,,
OLP,OLP,Olympic Dam Airport,,,
GOV,GOV,Gove Airport,,,
LEH,LEH,Le Havre - Octeville Airport,"""Rue Louis Bleriot",http://www.lehavre.aeroport.fr/,(+33) 2 35 54 65 00
YYE,YYE,Fort Nelson Airport,,,
QUW,LLU,Ammassivik Heliport,,,
YZS,YZS,Coral Harbour Airport,,,
WAT,WAT,Waterford Airport,,,
QJE,KUS,Kitsissuarsuit Heliport,,,
PAS,PAS,Paros National Airport,"""Paros 844 00",,NA
AUX,VLV,Aragua-na Airport,,,
NGB,NGB,Ningbo Lishe International Airport,,,
QPW,JAV,Kangaatsiaq Heliport,,,
KNS,KNS,King Island Airport,,,
GTE,GTE,Groote Eylandt Airport,,,
ZUH,ZUH,Zhuhai Airport,,,
SJW,SJW,Shijiazhuang Daguocun International Airport,,,
HLD,HLD,Dongshan Airport,,,
KTA,KTA,Karratha Airport,,,
DSN,DSN,Ordos Ejin Horo Airport,,,
RAP,RAP,Rapid City Regional Airport,"""4550 Terminal Rd",http://www.rcgov.org/Mayors-Office/faqs.html,(+1) 605-393-9924
RMQ,HCN,Taichung Ching Chuang Kang Airport,,,
SVD,SVD,E T Joshua Airport,"""St George",,NA
WEH,WEH,Weihai Airport,,,
MZW,GJL,Mecheria Airport,,,
LCJ,LCJ,D Wadysaw Reymont Airport,,,
BYK,ABJ,Bouakc Airport,,,
IPH,IPH,Sultan Azlan Shah Airport,"""Ipoh",http://ipoh.airport-authority.com/,(+60) 3-8777 7000
IQQ,IQQ,Diego Aracena International Airport,"""1",,(+56) 57 42 6350
BDP,BWA,Bhadrapur Airport,,,
KOT,AET,Kotlik Airport,,,
NGS,NGS,Nagasaki Airport,"""593番地 Mishimamachi",http://www.nabic.co.jp/english/,(+81) 957-52-5555
BNX,BNX,Banja Luka International Airport,,,
ARW,ARW,Arad International Airport,,,
HDG,DAT,Handan Airport,,,
ERL,DAT,Erenhot Saiwusu International Airport,,,
LTI,UYN,Altai Airport,,,
ULK,YKS,Lensk Airport,,,
BOY,BOY,Bobo Dioulasso Airport,,,
BQT,BQT,Brest Airport,,,
DAT,DAT,Datong Airport,,,
RNO,RNO,Reno-tahoe International Airport,"""2001 E Plumb Ln",http://www.renoairport.com/,(+1) 775-328-6400
STL,STL,Lambert-st Louis International Airport,"""10701 Lambert International Blvd. St. Louis",http://www.flystl.com/,(+1) 314 426-8000
SSB,STX,Christiansted Harbor Seaplane Base Airport,"""Christiansted",,NA
TRE,TRE,Tiree Airport,,,
ORK,ORK,Cork Airport,"""Kinsale Road",http://www.corkairport.com/home.aspx,(+353) 21 431 3131
NOU,NOU,La Tontouta International Airport,"""La Tontouta",http://www.tontouta-aeroport.nc/,(+687) 35 11 18
YCU,XIL,Yuncheng Guangong Airport,,,
SGN,SGN,Tan Son Nhat International Airport,"""phuong 4",http://en.vietnamairport.vn/,(+84 8) 3848 5383
TKS,TKS,Tokushima Airport,,,
PDT,PDT,Eastern Oregon Regional Airport,"""2016 Airport Rd",http://www.pendleton.or.us/pendleton-airport,(+1) 541-276-7754
DYG,DYG,Dayong Airport,,,
SHP,SHP,Shanhaiguan Airport,,,
HJJ,CGD,Zhijiang Airport,,,
TRN,TRN,Turin Airport,10072 Caselle Torinese (TO) - ITALIA,http://www.aeroportoditorino.it/,(+39) 011.5676378
BAY,BAY,Tautii Magheraus Airport,,,
PPK,PPK,Petropavlosk South Airport,,,
YZZ,SPR,Trail Airport,,,
YZG,YZG,Salluit Airport,,,
LGI,LGI,Deadmans Cay Airport,,,
KLV,KLV,Karlovy Vary International Airport,,,
PAP,PAP,Toussaint Louverture International Airport,"""GCH Catchment area",,NA
XAP,XAP,Chapec Airport,,,
ADD,ADD,Addis Ababa Bole International Airport,"""Addis Ababa",http://addisairport.com/,(+251) 11 551 7000
ULO,ULN,Ulaangom Airport,,,
TBW,TBW,Donskoye Airport,,,
NTL,NTL,Newcastle Airport,"""1 Williamtown Dr",http://www.newcastleairport.com/,(+44) 871 882 1121
MXZ,MXZ,Meixian Airport,,,
GJT,GJT,Grand Junction Regional Airport,"""2828 Walker Field Dr",http://www.gjairport.com/,(+1) 970-244-9100
LZH,LZH,Bailian Airport,,,
XIL,XIL,Xilinhot Airport,,,
CRA,CRA,Craiova Airport,,,
DNK,DNK,Dnipropetrovsk International Airport,,,
TSR,TSR,Timioara Traian Vuia Airport,,,
UTT,UTT,Mthatha Airport,K.D. Matanzima Airport,,NA
ABI,ABI,Abilene Regional Airport,"""2933 Airport Blvd.",http://iflyabi.com/,(+1) 325-676-6367
PJM,PJM,Puerto Jimenez Airport,,,
PNA,PNA,Pamplona Airport,"""Carretera Zaragoza",http://www.aena-aeropuertos.es/csee/Satellite/Aeropuerto-Pamplona/en/,(+34) 902 40 47 04
LEI,LEI,Almera Airport,"""Ctra. Níjar",http://www.aena-aeropuertos.es/csee/Satellite/Aeropuerto-Almeria/es/,(+34) 902 40 47 04
XBE,XBE,Bearskin Lake Airport,,,
PPP,PPP,Proserpine Whitsunday Coast Airport,,,
IFJ,IFJ,Safjrur Airport,,,
VDZ,VDZ,Valdez Airport,"""300 Airport Rd",,(+1) 907-835-5658
LYA,LYA,Luoyang Airport,,,
NNY,NNY,Nanyang Airport,,,
GYU,GOQ,Guyuan Liupanshan Airport,,,
MDL,MDL,Mandalay International Airport,,,
DLZ,UYN,Dalanzadgad Airport,,,
XFN,XFN,Xiangfan Airport,,,
COQ,UYN,Choibalsan Airport,,,
BYN,UYN,Bayankhongor Airport,,,
VLI,VLI,Bauerfield International Airport,"""Port Vila",,NA
NVI,UGC,Navoi Airport,,,
ZHY,UYN,Zhongwei Shapotou Airport,,,
BTC,CMB,Batticaloa Airport,,,
LZY,NAO,Nyingchi Airport,,,
TUG,TUG,Tuguegarao Airport,,,
HZH,NAO,Liping Airport,,,
ATD,ATD,Uru Harbour Airport,,,
MAU,MAU,Maupiti Airport,,,
DAY,DAY,Dayton International Airport,"""3600 Terminal Dr",http://www.flydayton.com/,(+1) 937-454-8200
EGO,EGO,Belgorod International Airport,,,
KGP,KGP,Kogalym International Airport,,,
IQN,IQN,Qingyang Airport,,,
JNG,INC,Jining Qufu Airport,,,
SNN,SNN,Shannon Airport,"""Shannon",http://www.shannonairport.ie/,(+353) (0)61 712000
JHG,JHG,Xishuangbanna Gasa Airport,,,
SKU,SKU,Skiros Airport,,,
UGT,UYN,Bulagtai Resort Airport,,,
EZS,EZS,Elaz Airport,,,
LLF,KWL,Lingling Airport,,,
KBL,KBL,Kabul International Airport,,,
BFN,BFN,Bloemfontein Airport,"""Bloemfontein",http://www.acsa.co.za/home.asp?pid=372,(+27) (0)51 407 2240
RHD,SDE,Las Termas Airport,,,
RMA,RMA,Roma Airport,"""Airport Dr",http://www.roma-airport.com/,(+61) 1300 007 662
LMP,LMP,Lampedusa Airport,,,
ATC,ATC,Arthurs Town Airport,,,
RAK,RAK,Marrakesh Menara Airport,"""Marrakesh",http://marrakech.airport-authority.com/,(+212) 5244-47910
HOI,HOI,Hao Airport,,,
ZSA,ZSA,San Salvador Airport,,,
ULY,ULY,Ulyanovsk East Airport,,,
JUZ,JUZ,Quzhou Airport,,,
AQG,AQG,Anqing Airport,,,
TOD,TOD,Pulau Tioman Airport,,,
NSI,YAO,Yaound Nsimalen International Airport,"""Yaounde",,NA
KUN,KUN,Kaunas Airport,"""Oro uosto st. 4",https://www.kaunas-airport.lt/,(+370) 37 399 307
SYM,SYM,Simao Airport,,,
ZAT,ZAT,Zhaotong Airport,,,
PNZ,PNZ,Senador Nilo Coelho Airport,,,
TGM,TGM,Transilvania Trgu Mure International Airport,,,
ENY,ENY,Yanan Airport,,,
GHB,GHB,Governors Harbour Airport,"""Queens Hwy",https://nfdc.faa.gov/nfdcApps/airportLookup/airportDisplay.jsp?category=nasr&airportId=MYEM,(+1) 242-332-2321
LAE,LAE,Lae Nadzab Airport,,,
MZL,MZL,La Nubia Airport,"""Via Magdalena # Km. 7",,(+57) 6 8745451
SLH,SLH,Sola Airport,,,
SMI,SMI,Samos International Airport,Greece,,NA
PIE,TPA,St Petersburg-clearwater International Airport,"""14700 Terminal Blvd",http://www.fly2pie.com/,(+1) 727-453-7800
MZV,MZV,Mulu Airport,"""Mulu",,NA
ESC,ESC,Delta County Airport Esc,"""3300 Airport Rd",http://www.deltacountymi.org/,(+1) 906-786-4902
PZH,PZH,Zhob Airport,,,
BJL,BJL,Banjul International Airport,"""Yundum",,NA
KOS,TNX,Sihanoukville International Airport,,,
VDH,MFM,Dong Hoi Airport,,,
CXR,CXR,Cam Ranh Airport,,,
TBS,TBS,Tbilisi International Airport,,,
TAB,TAB,Arthur Napoleon Raymond Robinson International Airport Directions,"""Crown Point",http://www.tobagoairport.com/,(+1) 868-639-8547
ENH,ENH,Enshi Airport,,,
LYG,LYG,Lianyungang Airport,,,
JCH,JCH,Qasigiannguit Heliport,,,
MSJ,MSJ,Misawa Airport,"""Misawa",http://www.misawa-airport.co.jp/,(+81) 176-53-3900
ORY,PAR,Orly Airport,Seven cities in Essonne and Val-de-Marne,http://www.aeroportsdeparis.fr/ADP/en-gb/passagers/home/,NA
PGF,PGF,Perpignan-rivesaltes Airport,"""Avenue Maurice Bellonte",http://www.aeroport-perpignan.com/fr/page/passagers,(+33) 4 68 52 60 70
AOS,RBV,Amook Bay Seaplane Base,,,
MTV,MTV,Mota Lava Airport,,,
YOP,YOP,Rainbow Lake Airport,"""65 Imperial Dr",,(+1) 780-956-3900
BIB,BJM,Baidoa Airport,,,
GYA,SRZ,Capitn De Av Emilio Beltrn Airport,,,
MYG,MYG,Mayaguana Airport,,,
BUA,BUA,Buka Airport,,,
KLX,KLX,Kalamata Airport,,,
BDU,BDU,Bardufoss Airport,,,
TXL,BER,Berlin Tegel Airport,"""Flughafen Tegel",http://www.berlin-airport.de/en/travellers-txl/index.php,(+49) 30 60911150
PRC,PRC,Ernest A Love Field Airport,"""6546 Crystal Ln",,(+1) 928-777-1114
BEW,BEW,Beira Airport,,,
HMV,HMV,Hemavan Airport,,,
KRN,KRN,Kiruna Airport,"""981 28 Kiruna",http://www.swedavia.com/kiruna/,(+46) 10 109 46 00
ZEL,YIV,Denny Island Airport,,,
NEV,NEV,Vance W Amory International Airport,"""Saint James Parish",http://www.nevisports.com/airport.asp,(+855) (0)23 890 890
NYO,STO,Stockholm Skavsta Airport,"""General Schybergs Plan 22",http://www.skavsta.se/,(+46) (0) 155-28 04 00
YSM,YSM,Fort Smith Airport,"""McDougal Rd",http://fortsmithairport.com/,(+1) 867-872-2007
FLN,FLN,Herclio Luz International Airport,"""Florianópolis - SC",http://www.infraero.com.br/index.php/br/aeroportos/santa-catarina/aeroporto-internacional-de-florianopolis.html,(+48) 3331-4000
YKL,YKL,Schefferville Airport,,,
LXG,LXG,Luang Namtha Airport,,,
GOT,GOT,Gteborg Landvetter Airport,438 80 Landvetter,http://www.swedavia.com/landvetter/,(+46)-(0)10-10 93 100
CEZ,CEZ,Cortez Municipal Airport,"""22874 County Road F",http://www.cityofcortez.com/index.aspx?NID=113,(+1) 970-565-7458
CMU,CMU,Chimbu Airport,,,
BAS,BAS,Ballalae Airport,,,
AIU,AIU,Enua Airport,,,
JLN,JLN,Joplin Regional Airport,"""7331 Hwy 43",http://www.joplinmo.org/index.aspx?nid=149,(+1) 417-623-0262
YVP,YVP,Kuujjuaq Airport,"""Airport Rd",,(+1) 819-964-2968
MLE,MLE,Ibrahim Nasir International Airport,"""Airport Main Rd",http://www.macl.aero,(+960) 332-3506
BRL,BRL,Southeast Iowa Regional Airport,"""2515 Summer St",http://www.brlairport.com/,(+1) 319-754-1414
MKG,MKG,Muskegon County Airport,"""99 Sinclair Drive",http://www.muskegonairport.com/,(+1) 231-798-4596
BKG,WWK,Branson Airport,,,
QFN,CNP,Narsaq Kujalleq Heliport,,,
YRG,YRG,Rigolet Airport,,,
DHI,BWA,Dhangarhi Airport,,,
QOW,ILR,Sam Mbakwe International Airport,,,
AYT,AYT,Antalya Airport,"""Antalya international terminal",http://www.aytport.com/,(+90) 543 402 1547
ALO,ALO,Waterloo Regional Airport,"""2790 Livingston Ln",http://www.flyalo.com/,(+1) 319-291-4483
WUS,WUS,Nanping Wuyishan Airport,,,
QUV,LLU,Aappilattoq Kujalleq Heliport,,,
SNU,SNU,Abel Santamaria Airport,,,
ZMT,ZMT,Masset Airport,,,
CNY,CNY,Canyonlands Field Airport,"""U.S. 191",http://www.grandcountyutah.net/airport/,(+1) 435-259-4849
UNG,UNG,Kiunga Airport,,,
JGO,JGO,Qeqertarsuaq Heliport,,,
YVQ,YVQ,Norman Wells Airport,,,
YNC,YNC,Wemindji Airport,,,
YHP,YHP,Poplar Hill Airport,,,
KXA,WST,Kasaan Seaplane Base,,,
EAE,EAE,Siwo Airport,,,
UME,UME,Ume Airport,"""Umea Airport",http://www.swedavia.com/umea/,(+46)-(0)10-109 50 00
GIU,RML,Sigiriya Air Force Base,,,
GDZ,AAQ,Gelendzhik Airport,,,
OUA,OUA,Ouagadougou Airport,"""Ouagadougou",,(+226) 50.30.78.48
TWF,TWF,Magic Valley Regional Airport,"""492 Airport Loop",,(+1) 208-733-5215
TOY,TOY,Toyama Airport,"""shima",http://www.toyama-airport.jp/,(+81) 476-34-8000
SBZ,SBZ,Sibiu International Airport,,,
CPV,CPV,Presidente Joo Suassuna Airport,,,
ART,ART,Watertown International Airport,"""22529 NYS Route 12F",,(+1) 315-786-6000
MHT,MHT,Manchester-boston Regional Airport,"""1 Airport Rd",http://www.flymanchester.com/,(+1) 603-624-6539
MXH,MXH,Moro Airport,,,
CZL,CZL,Mohamed Boudiaf International Airport,,,
DGO,DGO,General Guadalupe Victoria International Airport,,,
GDV,GDV,Dawson Community Airport,"""400 Airport Rd",https://nfdc.faa.gov/nfdcApps/airportLookup/airportDisplay.jsp?airportId=GDV,(+1) 406-989-2054
YVB,YVB,Bonaventure Airport,,,
YPC,YPC,Paulatuk Nora Aliqatchialuk Ruben Airport,,,
HEA,HEA,Herat Airport,,,
ITB,ITB,Itaituba Airport,"""Itaituba",,NA
ULV,CSY,Ulyanovsk Baratayevka Airport,,,
CHA,CHA,Chattanooga Metropolitan Airport,"""1001 Airport Rd",http://www.chattairport.com/www,(+1) 423-855-2200
MOI,MOI,Mitiaro Island Airport,,,
LNE,LNE,Lonorore Airport,,,
SFG,SFG,Lespcrance Airport,,,
FBM,FBM,Lubumbashi International Airport,,,
AUQ,AUQ,Hiva Oa-atuona Airport,,,
LKL,LKL,Banak Airport,,,
HNA,HNA,Hanamaki Airport,"""Hanamaki",http://www.hna-terminal.co.jp/,(+81) 198-26-2016
NDG,NDG,Qiqihar Sanjiazi Airport,,,
AUG,AUG,Augusta State Airport,"""75 Airport Rd",http://www.augustamaine.gov/index.asp?Type=B_BASIC&SEC={77453A68-CAEB-4B62-AC6E-C31249991E44},(+1) 207-626-2306
BNI,BNI,Benin Airport,,,
YPM,YPM,Pikangikum Airport,,,
