City Code,English,Arabic
DIW,Dickwella,ديكويلا
WMO,White Mountain,وايت ماوتن
SRI,Samarinda,ساماريندا
ULX,Ulusaba,اولوسابا
XQU,Qualicum Beach,كواليكوم بيتش
YST,St. Theresa Point,سانت تيريزا بوينت
JGD,Jiagedaqi District,جياجيداقى
KCT,Koggala,كوغولا
YGB,Texada,تيكسادا
KDZ,Kandy,كاندي
THQ,Tianshui,تيانشوي
WKJ,Wakkanai,اكاناي
IBA,Ibadan,إيبادان
TBT,Tabatinga,تاباتينغا
WNH,Wenshan,نشان
TKD,Takoradi,تاكورادي
GYU,Guyuan,قويوان
LOP,Praya,برايا
KAE,Kake,كاك
LIW,Loikaw,لويكا
KPB,Point Baker,بوينت بيكر
LKY,Lake Manyara,مانيارا لاك
ULH,Al-Ula,العلا
TGC,Tanjung Manis,تانجونج مانيس
SSJ,Sandnessjoen,ساندنيسجون
SXP,Nunam Iqua,نونام إيكوا
SDZ,Scatsta,سكاستا
HPA,Lifuka,ليفيكو
FAV,Fakarava,فاكرافا
GOM,Goma,غوما
MOF,Maumere,مامير
LCX,Longyan,ونغيان
LGQ,Lago Agrio,لاغو أغريو
PLX,Semiplatinsk,سيميبلاتنسك
URE,Kuressaare,كوريسار
ZFN,Tulita,توليتا
XLB,Lac Brochet,لاك بروشيت
AFL,Alta Floresta,ألتا فلوريستا
WGP,Waingapu,واينغابو
VAI,Vanimo,فانيمو
YLE,WhatÃ¬,وات
BUX,Bunia,بونيا
ESM,Esmeraldas,ازميرالدا
LIX,Likoma Island, ليكوما ايلاند
IEG,Zielona Gora,زيلونا غورا
NTN,Normanton,نورمانتون
PGU,Khalije Fars,خليج فارس
KVG,Kavieng,كافينغ
OTI,Morotai Island,موروتاي ايلاند
SJK,Sao Jose Dos Campos,ساو خوسيه دوس كامبوس
GAN,Gan Island,غان ايلاند
ZTM,Shamattawa,شاماتاو
RTW,Saratov,ساراتوف
VPE,Ondjiva,اونديفا
KCC,Coffman Cove,كوفمان كوف
YTM,Mont-Tremblant,مونت ترمبلانت
IRI,Iringa,إيرينغا
CMK,Club Makokola,كلوب ماكوكولا
XTL,Tadoule Lake,تادول لاك
BKY,Bukavu-kavumu,بوكافو-كافومو
BTK,Bratsk,براتسك
RJH,Rajshahi,راجشاهي
WBQ,Beaver,بيفير
VAS,Sivas,سيفاس
WLS,Wallis,اليس
WUA,Wuhai,ووهاي
HSL,Huslia,هوسليا
KCM,Kahramanmaras,كهرمان ماراس
GNY,Sanliurfa,سانليورفا
BYK,Bouake,بواكيه
ISU,Sulaymaniyah,السليمانية
CIK,Chalkyitsik,شالكيتسيك
KUM,Yakushima,ياكوشيما
KVK,Apatity,أباتيتي
CAZ,Cobar,كوبار
CHY,Choiseul Bay, تشويسيول باي
ATA,Anta,أنتا
KGX,Grayling,كرايلينك
AIN,Wainwright,ينرايت
LZR,Lizard Island,ليزارد اسلاند
DCY,Daocheng,داوشينك
DHI,Dhangarhi,دانغرهاي
KGT,Kangding,كانجدنج
FOA,Foula,فولة
DHB,Deer Harbor,دير هاربور
IWJ,Iwami,اوامي
KNG,Kaimana,كايمانا
PUE,Puerto Obaldia,بويرتو أوبالديا
PEZ,Penza,بينزا
PYC,Playon Chico,بلايون شيكو
BSC,Bahia Solano,باهيا سولانو
RCE,Roche Harbor, روش هاربير
FKS,Fukushima,فوكوشيما
SPY,San Pedro, سان بيدرو
SQG,Sintang-Borneo Island,جزيرة سينتانغ بورنيو
MUZ,Musoma,موسوما
NOV,Huambo,هوامبو
PRH,Phrae,فراى
XSI,South Indian Lake,جنوب الهند
WSN,South Naknek,جنوب ناكنيك
NLG,Nelson Lagoon,بحيرة نيلسون
YRA,GamÃ¨tÃ¬,جاماتا
SLX,Salt Cay,سالت كاي
PML,Cold Bay,كولد باي
CHU,Chuathbaluk,تشواثبالوك
CCF,Carcassonne,كاركاسون
SOY,Stronsay,سترونسي
SDD,Lubango,لوبانغو
NDY,Sanday,ساندي
OZH,Zaporozhye,زابوروجي
ILD,Lleida,يدا
AUK,Alakanuk,الاكناك
FMI,Kalemie,كاليمي
GXH,Xiahe city,مدينة شياخه
JIJ,Jijiga,جيجيجا
EUA,Eua Island,جزيرة يوا
KRB,Karumba,كارومبا
MMO,Maio,ميو
LTX,Latacunga,لاتاكنغا
CMG,Corumba,كرمبا
KWM,Kowanyama,كاونيوما
CEM,Central,وسط
EAA,Eagle,نسر
BZL,Barisal,باريسال
KHM,Khamti,كامتي
DOD,Dodoma,دودوما
DAU,Daru,دارو
ZTB,Tete-a-la-balenine,تيتي لا لبيناين
MXX,Mora,مورا
IWA,Ivanovo,إيفانوفو
VHC,Saurimo,ساوريمو
PAV,Paulo Alfonso,باولو ألفونسو
TMT,Oriximina,اوركسمينا
NTX,Ranai-Natuna Besar Island,جزيرة راناى - ناتونا بيسار
WWP,North Whale Pass,حوت الشمال، مرر
CMA,Cunnamulla,كانمولا
TAZ,Dasoguz,دسغز
NNB,Santa Ana,سانتا آنا
COQ,Choibalsan,شويبالسان
BYM,Bayamo,بايامو
TAL,Tanana,تينانا
BPE,Bagan,باغان
NAH,Naha,ناها
CLV,Caldas Novas,كالداس نوفاس
CSA,Colonsay,كولونزي
MSZ,Mocamedes,موكميدز
IXI,Lilabari,ليلباري
GBB,Qabala,قابالا
JCK,Julia Creek,جوليا كريك
MOG,Mong Hsat,مونغ هسات
KMN,Kamina Base,قاعدة كامينا
KLN,Larsen Bay,خليج لارسين
ISE,Isparta,اسبرطة
EOI,Eday,ايدي
BHS,Bathurst,باثورست
HHQ,Prachuap Khiri Khan,براشواب خيرى خان
BIN,Bamyan,باميان
HKB,Healy,هيلي
MDK,Mbandaka,مبانداكا
BKN,Balkanabat,بلقان
GMA,Gemena,جيمينا
MPP,Mulatupo,مولاتوبو
KGA,Kananga,كانانغا
NNL,Nondalton,نوندالتون
AWA,Awasa,أواسا
KAB,Kariba,كاريبا
BXB,Babo,بابو
BBO,Berbera,بربرة
APO,Apartado,أبارتادو
GHT,Ghat,الغاط
DAV,David,ديفيد
OLH,Old Harbor,المرفأ القديم
TDK,Taldykorgan,تالديكورغان
UMS,Ust-Maya,أوست-مايا
VAG,Varginha,فارجينها
QFI,Iginniarfik,ايجنيارفك
PDB,Pedro Bay,خليج بيدرو
NYI,Sunyani,سنياني
PKE,Parkes,باركس
QCU,Akunnaaq,اكيوناج
PTA,Port alsworth,بوابة، ألسورث
PAF,Pakuba,باكوبا
SMK,St. Michael,سانت مايكل
TCT,Takotna,تاكوتنا
BFQ,Bahia PiÂ¤a,باهيا بييا
CCN,Chaghcharan,تشاغتشاران
ESL,Elista,أليستا
EDO,Balikesir Korfez,باليكسير كورفيز
PSV,Papa Stour,بابا ستور
PTK,Pontiac,بونتياك
EPL,Epinal,إبينال
PNT,Puerto Natales,برتو ناتاليس
PIZ,Point Lay,نقطة لاي
GNA,Hrodna,هرودنا
CHR,Chateauroux,شاتورو
SBG,Sabang,سابانج
RMP,Rampart,متراس
BQL,Boulia,بوليا
GAF,Gafsa,قفصة
GAE,Gabes,قابس
CFB,Cabo Frio,كابو فريو
CSK,Cap Skiring,كاب، سكيرينغ
ZAJ,Zaranj,زارانج
WNR,Windorah,ويندورا
KIE,Kineshma,كينيشما
NGQ,Shiquanhe,شيكنهي
LIQ,Lisala,يسالا
MQN,Mo i Rana,مو ط رنا
MNU,Mawlamyine,ماولاميين
MOA,Moa,موا
MYP,Mary,ماري
HTG,Khatanga,كاتنجا
MBX,Maribor,ماريبور
JQE,JaquÃ©,جاكوا
KPY,Port Bailey,بورت بيلي
LPP,Lappeenranta,لابينرانتا
NIB,Nikolai,نيكولاي
KKB,Kitoi Bay,خليج كيتو
BWE,Braunschweig,براونشفايغ
LTT,La MÃ´le,لا MÃ'le
BST,Lashkar Gah,لاشكار غاه
KZR,Kutahya,كوتاهيا
KZB,Zachar Bay,خليج زخر
KOY,Olga Bay,خليج أولغا
KMU,Kismayu,كيسمايو
OSN,Osan,اوسان
AOS,Amook Bay,خليج اموك
ALZ,Lazy Bay,خليج كسول
NTT,Niuatoputapu,نيوا تابي تابو
KPR,Port Williams,بورت ويليامز
KMY,Moser Bay,خليج موسر
CAB,Cabinda,كابيندا
TME,Tame,كبح
CRZ,Turkmenabat,تركمان
ULV,Ulyanovsk,أوليانوفسك
GAX,Gamba,وثبة
RVT,Ravensthorpe,ريفنس ثورب
IAR,Yaroslavl,ياروسلافل
SYB,Seal Bay,ختم خليج
UTO,Indian Mountains,الجبال الهندية
RMS,Ramstein,رامشتاين
TII,Tarin Kowt,تارين كوت
TIW,Tacoma,تاكوما
RVE,Saravena,سارافينا
ONJ,Odate Noshiro,أوديت نوشيرو
MII,MarÂ¡lia,مارليا
OAL,Marktoberdorf,ماركت أوبردورف
YAB,Arctic Bay,أركتيك، جزء رئيسي من مبنى
CCM,Criciuma,كريسيوما
MYA,Moruya,موريا
NLT,Xinyuan,شينيوان
VAN,Van,فان
CHX,Changuinola,شانغوينولا
CEG,Hawarden,هاوردن
CGA,Craig,كريج
MOC,Montes Claros,مونتيس كلاروس
MNI,Geralds,جيرالدز
ARU,Aracatuba,اراكتوبا
IZA,Juiz de Fora,جويز دي فورا
MOU,Mountain Village,ماونتن فيليج
WYA,Whyalla,يالا
WLK,Selawik,سلويك
KFS,Kastamonu,كاستامونو
KMO,Manokotak,مانيكوتاك
KLF,Kaluga,كالوغا
KDL,Kardla,كاردلا
JPR,Ji-ParanÂ ,جي بارانا
KGK,Koliganek,كوليجنك
BVH,Vilhena,فيلينا
MQM,Mardin,ماردين
CBT,Catumbela,كاتومبيلا
YCR,Cross Lake,عبر، بحيرة
FIE,Fair Isle,فيرايل
CXJ,Caxias Do Sul,كاكسياس دو سول
IAN,Kiana,كيانا
KTB,Thorne Bay,خليج ثورن
MTM,Metakatla,ميتلاكاتلا
SCY,San CristÂ¢bal,سان كريستو ¢ بال
WJR,Wajir,واجير
PES,Petrozavodsk,بتروزافودسك
AAX,Araxa,من Araxa
KXF,Koro Island,جزيرة كورو
NFO,"Angaha, Niuafo'ou Island", أنجاها جزيؤة نيوفو
TML,Tamale,تامالي
FUT,Futuna Island,جزيرة فوتونا
DGA,Dangriga,دانغريغا
LEQ,Land's End,نهاية الأراضي
KSY,Kars,كارس
ADF,Adiyaman,أديامان
SYO,Shonai,شوناي
UMD,Uummannaq,اوموناك
GFN,Grafton,جرافتون
MGB,Mount Gambier,تعاظم، غامبير
TRO,Taree,تاري
PLJ,Placencia,بلاسينسيا
GER,Nueva Gerona,نويفا جيرونا
HAC,Hachijojima,هاتشيجوجيما
PEC,Pelican,البجع طائر
CAW,Campos,كامبوس
AUX,Araguaina,أراغوينا
GNU,Goodnews Bay,خليج غودنوز
PJA,Pajala,بجالا
DVL,Devils Lake,الشياطين، بحيرة
GVR,Governador Valadares,غوفرنادور فالاداريس
SIF,Simara,سيمرا
DRK,Puntarenas,بونتاريناس
MGH,Margate,مارجيت
YZZ,Trail,ممر المشاة
KMS,Kumasi,كوماسي
NRA,Narrandera,نيرينديرا
MIM,Merimbula,ميريمبولا
KID,Kristianstad,كريستيانستاد
CZH,Corozal,كوروزال
SFL,Sao Filipe,ساو فيليب
TNE,Tanegashima,تانيغاشيما
WBM,Wapenamanda,ويبين اماندا
QSC,Sao Carlos,ساو كارلوس
VTU,Las Tunas,لاس توناس
UKA,Ukunda,وكوندا
TRR,Trinciomalee,ترينكومالي
GCW,Grand Canyon West,غراند كانيون ويست
SCM,Scammon Bay,خليج سكامون
DLZ,Dalanzadgad, دالانزاغاد
THN,Trollhattan,ترولهاتان
AAT,Altay,ألتاي
RBQ,Rerrenabaque,ريراناباك
TKE,Tenakee Springs,تيناكي، سبرينغس
BDP,Chandragarhi,شاندرغاري
IPN,Ipatinga,إيباتينغا
BHR,Bharatpur,بهاراتبور
PMK,Palm Island,جزيرة النخلة
VAM,Maamigili,ماماجيلي
LSZ,Mali Losinj,مالي لوسينج
ODO,Bodaibo,بوديبو
HYG,Hydaburg,هايدابرغ
