BAS,Ballalae,بالالاي,,,
BTH,Batam,باتام,,,
OSD,Ostersund,أوسترسوند,,,
TNR,Antananarivo,أنتاناناريفو,,,
AXU,Axum,أكسوم,,,
IDR,Indore,إندور,,,
ELQ,Gassim,القصيم,,,
ELP,El Paso,الباسو,,,
BRA,Barreiras,,,,
LTQ,Le Tourquet,,,,
BKC,Buckland,,,,
BYO,Bointo,,,,
WBM,Wapenamanda,,,,
YWB,Kangiqsujuaq,,,,
NDR,El Aroui,,,,
EGX,Egegik,,,,
JUV,Upernavik,,,,
KTD,Kitadaito,,,,
NGQ,Shiquanhe,,,,
KEP,Nepalgunj,,,,
NOV,Huambo,,,,
PNP,Girua,,,,
DNZ,Denizli,,,,
OBN,North Connel,,,,
OHO,Okhotsk,,,,
KGK,Koliganek,,,,
MDK,Mbandaka,,,,
HUE,Humera,,,,
YTM,Mont-Tremblant,,,,
KMY,Moser Bay,,,,
PEZ,Penza,,,,
POI,Potosi,,,,
PIN,Parintins,,,,
PLJ,Placencia,,,,
MJC,Man,,,,
PUK,Pukarua,,,,
ZTM,Shamattawa,,,,
FMI,Kalemie,,,,
SHX,Shageluk,,,,
UNK,Unalakleet,,,,
GCW,Grand Canyon West,,,,
ZEL,Bella Bella,,,,
RNA,Ulawa,,,,
IGA,Inagua,إناغوا,,,
HYL,Hollis,,,,
MBD,Mafeking,,,,
EOI,Eday,,,,
OBU,Kobuk,,,,
AQI,Hafr Al Batin,حفر الباطن,,,
HPB,Hooper Bay,هوبر باي,,,
MTJ,Montrose,مونتروز,,,
NUE,Nerg,نيرغ,,,
OGX,Ouargla,ورقلة,,,
GOV,Gove,غوف,,,
YWK,Wabush,وابوش,,,
HKK,Hokitika,هوكيتيكا,,,
HBA,Hobart,هوبارت,,,
NYC,New York,نيويورك,,,
NVK,Narvik,نارفيك,,,
NPE,Napier,نابيير,,,
MYR,Myrtle Beach,ميرتل بيتش,,,
MJV,Murcia,مورسيا,,,
MAZ,Mayaguez,ماياجويز,,,
IXE,Mangalore,مانجالور,,,
MAO,Manaus,ماناوس,,,
MLE,Male,ماليه,,,
MKY,Mackay,ماكاي,,,
MYJ,Matsuyama,ماتسوياما,,,
LEA,Learmonth,ليرمونث,,,
LON,London,لندن,,,
YLW,Kelowna,كيلونا,,,
KYP,Kyaukpyu,كياكبيو,,,
CCP,Concepcion,كونسيبسيون,,,
HGO,Korhogo,كورهوغو,,,
CCU,Kolkata,كلكتا,,,
KSU,Kristiansund,كريستيانساند,,,
KLV,Karlovy vary,كارلوفي فاري,,,
FUN,Funafuti Atol,فونافوتي أتول,,,
FLL,Fort Lauderdale,فورت لودرديل,,,
GCI,Guernsey,غيرنسي,,,
GOU,Garoua,غاروا,,,
TIP,Tripoli,طرابلس,,,
CHO,Charlottesville,شارلوتسفيل,,,
SGY,Skagway,سكاغواي,,,
SUG,Sangley Point,سانغلي بوينت,,,
SBA,Santa Barbara,سانتا باربارا,,,
ROK,Rockhampton,روكهامبتون,,,
DGO,Durango,دورانجو,,,
DAB,Daytona Beach,دايتونا بيتش,,,
HAS,Hail,حائل,,,
GIS,Gisborne,جيسبورن,,,
JKG,Jonkoping,جونكوبينغ,,,
FTA,Futuna Island,جزيرة فوتونا,,,
CEK,Chelyabinsk,تشيليابنسك,,,
TXK,Texarkana,تإكسركنا,,,
PNS,Pensacola,بينساكولا,,,
PNQ,Pune,بوني,,,
BGA,Bucaramanga,بوكارامانغا,,,
YHP,Poplar Hill,بوبلار هيل,,,
BIS,Bismarck,بسمارك,,,
BHX,Birmingham,برمنغهام,,,
YBR,Brandon,براندون,,,
PNA,Pamplona,بامبلونا,,,
AUR,Aurillac,أوريلاك,,,
OMD,Oranjemund,أورجنمند,,,
ITH,Ithaca,إيثاكا,,,
ILY,Islay,إسلاي,,,
VIL,Dakhla,الداخلة,,,
EGN,Geneina,الجنينة,,,
OIR,Okushiri,,,,
BFX,Bafoussam,,,,
KUK,Kasigluk,,,,
BYK,Bouake,,,,
DOU,Dourados,,,,
NDU,Rundu,,,,
SMK,St. Michael,,,,
STG,St. George,,,,
AGM,Angmagssalik,,,,
BJT,Bentota,,,,
,Lublin,,,,
NME,Nightmute,,,,
PSJ,Poso,,,,
PRY,Pretoria,,,,
LIO,Limon,,,,
FKS,Fukushima,,,,
DSE,Dessie,,,,
MHG,Mannheim,,,,
LTT,La Môle,,,,
LIX,Likoma Island,,,,
KHE,Kherson,,,,
YAB,Arctic Bay,,,,
CHR,Chateauroux,,,,
SKX,Saransk,,,,
XQU,Qualicum Beach,,,,
BPE,Bagan,,,,
GNU,Goodnews Bay,,,,
GYL,Argyle,,,,
MPP,Mulatupo,,,,
SDZ,Scatsta,,,,
VGZ,Villa Garzon,,,,
ILP,lle des Pins,,,,
GFN,Grafton,,,,
GNS,Gunung Sitoli,,,,
HID,Horn Island,هورن آيلاند,,,
EBU,St Etienne,سانت ايتيين,,,
SHD,Staunton,ستونتون,,,
HAR,Harrisburg,هاريسبورغ,,,
NCU,Nukus,نوكوس,,,
NGS,Nagasaki,ناغازاكي,,,
MOT,Minot,مينوت,,,
MYT,Myitkyina,ميتكيينا,,,
YQM,Moncton,مونكتون,,,
MCM,Monaco,موناكو,,,
MKM,Mukah,موكاه,,,
MMA,Malmo,مالمو,,,
MGF,Maringa,مارينجا,,,
MAR,Maracaibo,ماراكايبو,,,
LWS,Lewiston,لويستون,,,
LUM,Luxi,لوكسي,,,
LUD,Luderitz,لودريتز,,,
LFT,Lafayette,لافاييت,,,
IRK,Kirksville,كيركسفيل,,,
CLL,College Station,كوليج ستيشن,,,
KBV,Krabi,كرابي,,,
YBL,Campbell River,كامبل ريفر,,,
KGI,Kalgoorlie,كالغورلي,,,
VLN,Valencia,فالنسيا,,,
BDQ,Vadodara,فادودارا,,,
GAM,Gambell,غامبيل,,,
SJW,Shijiazhuang,شيجياتشوانغ,,,
SIC,Sinop,سينوب,,,
ZYL,Sylhet Osmani,سيلهيت عثماني,,,
SGC,Surgut,سورجوت,,,
SNU,Santa Clara,سانتا كلارا,,,
SVD,St Vincent,سانت فنسنت,,,
HIN,Sacheon,ساتشيون,,,
ZAM,Zamboanga,زامبوانجا,,,
RCH,Riohacha,ريوهاتشا,,,
REC,Recife,ريسيفي,,,
RNB,Ronneby,رونيبي,,,
RDD,Redding,ردينغ,,,
DOM,Dominica,دومينيكا,,,
HVB,Hervey Bay,خليج هيرفي,,,
JNU,Juneau,جونو,,,
JRH,Jorhat,جورهات,,,
GVA,Geneva,جنيف,,,
FRE,Fera Island,جزيرة فيرا,,,
GIB,Gibraltar,جبل طارق,,,
MKL,Jackson,جاكسون,,,
TGJ,Tiga,تيجا,,,
TKS,Tokushima,توكوشيما,,,
TUP,Tupelo,توبيلو,,,
TDX,Trat,ترات,,,
PND,Punta Gorda,بونتا جوردا,,,
PCR,Puerto Carreno,بورتو كارينو,,,
TAT,Poprad,بوبراد,,,
BAV,Baotou,باوتو,,,
YXP,Pangnirtung,بانجنيرتونج,,,
BRW,Barrow,بارو,,,
PED,Pardubice,باردوبيتسه,,,
EJA,Barrancabermeja,بارانكابيرميا,,,
AXR,Arutua,آروتوا,,,
APW,Apia,آبيا,,,
OAG,Orange,أورانج,,,
ODS,Odessa,أوديسا,,,
UAH,Ua Huka,أوا هوكا,,,
AGR,Agra,أكرة,,,
ABA,Abakan,أباكان,,,
ETH,Elat,إيلات,,,
IXU,Aurangabad,اورانجاباد,,,
JGD,Jiagedaqi District,,,,
MLL,Marshall,,,,
GDZ,Gelendzik,,,,
SLQ,Sleetmute,,,,
HDG,Handan,,,,
KID,Kristianstad,,,,
KRW,Krasnovodsk,,,,
HOV,Orsta-Volda,,,,
NLG,Nelson Lagoon,,,,
CIY,Comiso,,,,
IRI,Iringa,,,,
OLF,Wolf Point,,,,
KLN,Larsen Bay,,,,
LIW,Loikaw,,,,
KAE,Kake,,,,
HKB,Healy,,,,
OLZ,Olpoi,,,,
THQ,Tianshui,,,,
LPY,Le Puy,,,,
MRE,Masai Mara,,,,
BTK,Bratsk,,,,
KNG,Kaimana,,,,
KEK,Ekwok,,,,
SLI,Solwesi,,,,
GKK,Kooddoo,,,,
ALZ,Lazy Bay,,,,
KWM,Kowanyama,,,,
NJF,Najaf,,,,
PPW,Papa Westray,,,,
HZG,Hanzhong,,,,
CSK,Cap Skiring,,,,
CXB,Coxs Bazar,كوكس بازار,,,
FRD,Friday harbor,فرايدي هاربور,,,
HHH,Hilton Head,هيلتون هيد,,,
MQT,Marquette,ماركويت,,,
MFE,Mc Allen Mission,ماكالين ميسيون,,,
TAY,Tartu Ulenurme,تارتو يولينيرم,,,
VEL,Vernal,فيرنال,,,
HLD,Hailar,هايلار,,,
AIA,Alliance,تحالف,,,
HAV,Havana,هافانا,,,
NOU,Noumea,نوميا,,,
NAS,Nassau,ناسو,,,
MLU,Monroe,مونرو,,,
MCT,Muscat,مسقط,,,
CRK,Angeles City,مدينة انجليس,,,
MCZ,Maceio,ماسيو,,,
MVR,Maroua,ماروا,,,
LJU,Ljubljana,ليوبليانا,,,
LAN,Lansing,لانسينغ,,,
LRM,La Romana,لا رومانا,,,
CFU,Corfu,كورفو,,,
CMW,Camaguey,كماغوي,,,
CEC,Crescent City,كريسنت سيتي,,,
KUN,Kaunas,كاوناس,,,
KAN,Kano,كانو,,,
XKH,Phon Savan,فون سافان,,,
MEE,Mare,فرماري,,,
TAS,Tashkent,طشقند,,,
AGT,Ciudad Del Este,سيوداد ديل استي,,,
ZAZ,Zaragoza,سرقسطة,,,
EAE,Sangafa,سانغافا,,,
YXE,Saskatoon,ساسكاتون,,,
RBR,Rio Branco,ريو برانكو,,,
DBQ,Dubuque,دوبوك,,,
DUD,Dunedin,دنيدن,,,
DAY,Dayton,دايتون,,,
JAL,Jalapa,خالابا,,,
TNA,Jinan,جينان,,,
GIZ,Gizan,جيزان,,,
GTO,Gorontalo,جورونتالو,,,
GOA,Genoa,جنوة,,,
RNL,Rennell Island,جزيرة رينيل,,,
XAP,Chapeco,تشابيكو,,,
TRU,Trujillo,تروخيو,,,
TJQ,Tanjung Pandan,تانجونج باندان,,,
TLJ,Tatalina,تاتالينا,,,
TAP,Tapachula,تاباتشولا,,,
OGZ,Beslan,بيسلان,,,
XBJ,Birjand,بيرجند,,,
PGA,Page,بيدج,,,
PDP,Punta Del Este,بونتا ديل استي,,,
BFV,Buri Ram,بوري رام,,,
YZT,Port hardy,بورت هاردي,,,
BEN,Benghazi,بنغازي,,,
IXG,Belgaum,بلجاوم,,,
PBG,Plattsburgh,بلاتسبرغ,,,
BME,Broome,بروم,,,
BTJ,Banda Aceh,باندا آتشيه,,,
PMO,Palermo,باليرمو,,,
BCM,Bacau,باكاو,,,
PAH,Paducah,بادوكاه,,,
OMA,Omaha,أوماها,,,
OSL,Oslo,أوسلو,,,
OZC,Ozamis,أوزاميس,,,
YOW,Ottawa,أوتاوا,,,
ACC,Accra,أكرا,,,
SCO,Aktau,أكتاو,,,
AGA,Agadir,أكادير,,,
ATD,Atoifi,اتويفي,,,
RTW,Saratov,,,,
KZB,Zachar Bay,,,,
RVK,Rørvik,,,,
RGK,Gorno-Altaysk,,,,
WNH,Wenshan,,,,
HHQ,Prachuap Khiri Khan,,,,
PWE,Pevek,,,,
ABL,Ambler,,,,
SIR,Sion,,,,
LUW,Luwuk,,,,
EDO,Balikesir Korfez,,,,
BAL,Batman,,,,
AOS,Amook Bay,,,,
FUT,Futuna Island,,,,
VAN,Van,,,,
SSJ,Sandnessjoen,,,,
SRI,Samarinda,,,,
BTI,Barter Island,,,,
BWE,Braunschweig,,,,
UTO,Indian Mountains,,,,
NQU,Nuqu¡,,,,
,,,,,
EAP,Mulhouse,,,,
AJI,Agri,,,,
SYB,Seal Bay,,,,
YAZ,Tofino,,,,
PMK,Palm Island,,,,
KLF,Kaluga,,,,
KKB,Kitoi Bay,,,,
ZKG,Kegaska,,,,
COD,Cody Yellowstone,كودي يلوستون,,,
MNG,Maningrida,مانينغريدا,,,
MCE,Merced,ميرسيد,,,
TBU,Nuku Alofa,نوكو ألوفا,,,
YAY,St Anthony,سانت أنتوني,,,
EGE,Vail Eagle,فيل إيغل,,,
GWT,Westerland,ويسترلاند,,,
HOU,Houston,هيوستن,,,
HAN,Hanoi,هانوي,,,
HVR,Havre,هافر,,,
TMU,Nicoya,نيكويا,,,
NNY,Nanyang,نانيانغ,,,
WNP,Naga,ناغا,,,
NNT,Nan,نادي,,,
YGJ,Miho,ميهو,,,
MDG,Mudanjiang,مودانجيانغ,,,
MQP,Mpumalanga,مبومالانجا,,,
GDX,Magadan,ماجادان,,,
LVI,Livingstone,ليفينغستون,,,
LOK,Lodwar,لودوار,,,
TRI,Blountville,لاونت فيلي,,,
KIT,Kithira,كيثيرا,,,
VCS,Conson,كونسون,,,
CZM,Cozumel,كوزوميل,,,
OTZ,Kotzebue,كوتزيبيو,,,
KSH,Kermanshah,كرمنشاه,,,
KDM,Kaadedhdhoo,كاديدهو,,,
FEG,Fergana,فرغانة,,,
VLS,Valesdir,فالسدر,,,
GYE,Guayaquil,غواياكيل,,,
GDL,Guadalajara,غوادالاخارا,,,
SZX,Shenzhen,شنتشن,,,
SHW,Sharurah,شرورة,,,
CME,Ciudad Del Carmen,سيوداد ديل كارمن,,,
SOQ,Sorong,سورونغ,,,
YSK,Sanikiluaq,سانيكلواك,,,
SCQ,Santiago,سانتياغو,,,
SAL,San Salvador,سان سلفادور,,,
ZNZ,Zanzibar,زنجبار,,,
ZRJ,Round Lake,راوند ليك,,,
RDU,Raleigh,رالي,,,
DIR,Dire Dawa,دير داوا,,,
CFN,Dongloe,دنقلا ؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟,,,
DXB,Dubai,دبي,,,
DHM,Dharamsala,دارام سالا,,,
SSR,Pentecost Island,جزيرة بينتيكوست,,,
TLE,Toliara,توليارا,,,
TUB,Tubuai,توبواي,,,
CKG,Chongqing,تشونغتشينغ,,,
CSX,Changcha,تشانغشا,,,
CHS,Charleston,تشارلستون,,,
TUU,Tabuk,تبوك,,,
PSR,Pescara,بيسكارا,,,
BOI,Boise,بويز,,,
BVE,Brive,بريف,,,
BQT,Brest,بريست,,,
BGF,Bangui,بانغي,,,
BNS,Barinas,باريناس,,,
PDG,Padang,بادانج,,,
VDA,Ovda,أوفدا,,,
OSS,Osh,أوش,,,
ORB,Orebro,أوريبرو,,,
OBO,Obihiro,أوبيهيرو,,,
EAU,Eau Claire,أو كلير,,,
ASJ,Amami,أمامي,,,
AAL,Aalborg,ألبورغ,,,
ACA,Acapulco,أكابولكو,,,
AGF,Agen,أجان,,,
MTV,Ablow,أبلو,,,
WAG,Wanganui,انجانوي,,,
RVE,Saravena,,,,
CXJ,Caxias Do Sul,,,,
NZH,Manzhouli,,,,
TBH,Romblon,,,,
CUK,Caye Caulker,,,,
KVK,Apatity,,,,
TGT,Tanga,,,,
KDZ,Kandy,,,,
KMS,Kumasi,,,,
NYT,NAYPYITAW,,,,
SBG,Sabang,,,,
BFQ,Bahia Pi¤a,,,,
HTY,Hatay,,,,
GAF,Gafsa,,,,
UKX,Ust-Kut,,,,
ULX,Ulusaba,,,,
LSH,Lashio,,,,
ULG,Olgii,,,,
BOC,Bocas Del Toro,,,,
AAX,Araxa,,,,
MJU,Mamuju,,,,
RMT,Rimatara,,,,
LUP,Molokai,,,,
SEU,Seronera,,,,
URY,Guriat,القريات,,,
TIF,Taif,الطائف,,,
NBX,Nabire,,,,
SWQ,Sumbawa Island,,,,
ATC,Arthurs Town,آرثرز تاون,,,
HGR,Hagerstown,هاغرستوون,,,
MJM,Mbuji Mayi,مبوجي مايي,,,
ETZ,Metz Nancy,ميتز نانسي,,,
PGH,Pantnagar,بانتينجر,,,
STL,St Louis,سانت لويس,,,
HNS,Haines,هينز,,,
AGX,Agatti,أجاتي,,,
HOB,Hobbs,هوبس,,,
NCL,Newcastle,نيوكاسل,,,
KHN,Nanchang,نانتشانغ,,,
NAW,Narathiwat,ناراثيوات,,,
MPL,Montpellier,مونبلييه,,,
MYW,Mtwara,متوارا,,,
MAN,Manchester,مانشستر,,,
MEC,Manta,مانتا,,,
MVT,Mataiva,ماتيافا,,,
LIT,Little Rock,ليتل روك,,,
LIR,Liberia,ليبيريا,,,
LIS,Lisbon,لشبونة,,,
LBS,Lambasa,لامباس,,,
LZC,Lazaro Cardenas,لازارو كارديناس,,,
KKN,Kirkenes,كيركينيس,,,
UIB,Quibdo,كويبدو,,,
CLQ,Colima,كوليما,,,
CNQ,Corrientes,كوريينتس,,,
ROR,Koror,كورور,,,
YGW,Kuujjuarapik,كوجوارابيك,,,
YXC,Cranbrook,كرانبروك,,,
CFR,Caen,كاين,,,
KAL,Kaltag,كالتاغ,,,
KYA,Konya,قونية,,,
KDH,Kandahar,قندهار,,,
FLN,Florianopolis,فلوريانوبوليس,,,
FAY,Fayetteville,فايتفيل,,,
EBB,Entebbe,عنتيبي,,,
CJL,Chitral,شيترال,,,
SUX,Sioux City,سيوكس سيتي,,,
SYM,Simao,سيماو,,,
SPU,Split,سبليت,,,
SCL,Santiago,سانتياغو,,,
ZAD,Zadar,زادار,,,
YRG,Rigolet,ريغوليت,,,
ROI,Roi Et,روي إت,,,
RUR,Rurutu,روروتو,,,
DLH,Duluth,دولوث,,,
DLE,Dole,دول,,,
ULB,Ambryn Island,جزيرة امبرين,,,
IXJ,Jammu,جامو,,,
JJN,Quanzhou,تشوانتشو,,,
TPE,Taipei,تايبيه,,,
TIZ,Tari,تاري,,,
BRS,Bristol,بريستول,,,
WNN,Wunnumin Lake,بحيرة وانو مين,,,
JEG,Aasiaat,آسيات,,,
OUL,Oulu,أولو,,,
UVE,Ouvea,أوفيا,,,
UCT,Ukhta,أوختا,,,
ATQ,Amritsar,أمريتسار,,,
AGU,Aguascalientes,أغواسكاليينتس,,,
ENU,Enugu,إينوغو,,,
INN,Innsbruck,إنسبروك,,,
NWA,Moheli,,,,
VIG,El Vig¡a,,,,
KWK,Kwigillingok,,,,
CFB,Cabo Frio,,,,
LSZ,Mali Losinj,,,,
JXA,Jixi,,,,
NFO,Angaha,,,,
UKA,Ukunda,,,,
CMG,Corumba,,,,
OPS,Sinop,,,,
CAB,Cabinda,,,,
HJJ,Zhijiang,,,,
MMO,Maio,,,,
OBY,Ittoqqortoormiit,,,,
KOZ,Ouzinkie,,,,
ISC,St. Mary's,,,,
NTN,Normanton,,,,
OSN,Osan,,,,
OHE,Mohe County,,,,
SGO,St George,,,,
YGH,Fort Good Hope,,,,
YZY,Mackenzie British Columbia,,,,
QFI,Iginniarfik,,,,
CEE,Cherepovets,,,,
BKY,Bukavu-kavumu,,,,
ILR,Ilorin,إلورين,,,
LOO,Laghouat,الأغواط,,,
HAC,Hachijojima,,,,
IWA,Ivanovo,,,,
FLS,Flinders Island,جزيرة فلندرز,,,
MUH,Mersa Matruh,مرسى مطروح,,,
SMA,Santa Maria Island,سانتا ماريا آيلاند,,,
KSM,St Marys,سانت ماريز,,,
INC,Yinchuan,ينشوان,,,
HOF,Al Ahsa,الأحساء,,,
LAQ,Al Bayda,البيضاء,,,
WUS,Wuyishan,ووييشان,,,
WAS,Washington,واشنطن,,,
HNM,Hana,هانا,,,
NQY,Newquay,نيوكواي,,,
NYM,Nadym,ناديم,,,
NAJ,Nakhchivan,ناخيتشيفان,,,
MVP,Mitu,ميتو,,,
LGG,Liege,لييج,,,
LZH,Liuzhou,ليوتشو,,,
LFW,Lome,لومي,,,
LBB,Lubbock,لوبوك,,,
YQK,Kenora,كينورا,,,
UIP,Quimper,كيمبيه,,,
CPT,Cape Town,كيب تاون,,,
KSC,Kosice,كوسيتش,,,
KGS,Kos,كوس,,,
CYZ,Cauayan,كوايان,,,
KME,Kamembe,كاميمبي,,,
VNX,Vilankulu,فيلانكولو,,,
HKT,Phuket,فوكيت,,,
FDF,Fort De France,فور دو فرانس,,,
YYR,Goose Bay,غوز باي,,,
GJA,Guanaja,غواناجا,,,
SOF,Sofia,صوفيا,,,
CGP,Chittagong,شيتاغونغ,,,
JSI,Skiathos,سكياثوس,,,
RAR,Rarotonga,راروتونجا,,,
JKH,Chios,خيوس,,,
RCB,Richards Bay,خليج ريتشاردز,,,
JIM,Jimma,جيما,,,
GJL,Jijel,جيجل,,,
JGS,Ji An,جي إن,,,
IPC,Easter Island,جزيرة الفصح,,,
YTS,Timmins,تيمينز,,,
TGU,Tegucigalpa,تيغوسيغالبا,,,
IQN,Qingyang,تشينغيانغ,,,
ZUH,Zhuhai,تشوهاي جينوان,,,
NSB,Bimini,بيميني,,,
PET,Pelotas,بيلوتاس,,,
POP,Puerto Plata,بويرتو بلاتا,,,
BOS,Boston,بوسطن,,,
PLO,Port Lincoln,بورت لينكولن,,,
BWK,Brac,براك,,,
UBA,Uberaba,برابا,,,
PMR,Palmerston North,بالمرستون نورث,,,
YBG,Bagotville,باغوتفيل,,,
OHD,Ohrid,أوهريد,,,
OSR,Ostrava,أوسترافا,,,
AMD,Ahmedabad,أحمد آباد,,,
IVL,Ivalo,إيفالو,,,
YOC,Old Crow,,,,
THD,Thanh Hoa,,,,
KDL,Kardla,,,,
ZTA,Tureia,,,,
YLE,Whatì,,,,
ACX,Xingyi,,,,
OLH,Old Harbor,,,,
LLF,Yongzhou,,,,
MAS,Momote,,,,
DHI,Dhangarhi,,,,
GZP,Alanya,,,,
RCE,Roche Harbor,,,,
DOD,Dodoma,,,,
KAW,Kawthoung,,,,
SNE,Sao Nocolau Island,,,,
NTB,Notodden,,,,
BSD,Baoshan,,,,
KTR,Katherine,,,,
WLS,Wallis,,,,
IJK,Izhevsk,,,,
TRR,Trinciomalee,,,,
SQG,Sintang-Borneo Island,,,,
KPN,Kipnuk,,,,
KHM,Khamti,,,,
CFG,Cienfuegos,,,,
PAV,Paulo Alfonso,,,,
ROO,Rondonopolis,,,,
SIF,Simara,,,,
KWT,Kwethluk,,,,
IAA,Igarka,,,,
RVD,Rio Verde,,,,
SFL,Sao Filipe,,,,
SHO,Sokch'o,,,,
WWT,Newtok,,,,
SPD,Saidpur,,,,
KKH,Kongiganak,,,,
ULO,Ulaangom,,,,
DVL,Devils Lake,,,,
JJU,Qaqortoq,,,,
CEG,Hawarden,,,,
NHA,Nhatrang,,,,
RUA,Arua,أروا,,,
KRT,Khartoum,الخرطوم,,,
GNA,Hrodna,,,,
ENF,Enontekio,,,,
DIK,Dickinson,ديكنسون,,,
DUR,Durban,ديربان,,,
GLT,Gladstone,غلادستون,,,
KUU,Kullu Manali,كولو منالي,,,
NAC,Naracoorte,ناراركورت,,,
YVO,Val Dor,فالدور,,,
ABE,Allentown Bethlehem Easton,ألينتاون/ بيت لحم / ايستون,,,
PKC,Petropavlovsk Kamchats,بيتروبافلوفسك كامتشاتسكي,,,
HIJ,Hiroshima,هيروشيما,,,
HSV,Huntsville,هانتسفيل,,,
HKD,Hakodate,هاكوداته,,,
MLO,Milos,ميلوس,,,
MJT,Mytilene,ميتيليني,,,
MRU,Mauritius,موريشيوس,,,
YNB,Mudanjiang,مودانجيانغ,,,
CNY,Moab,موآب,,,
LEN,Leon,ليون,,,
LKN,Leknes,ليكنيز,,,
LNE,Lonorore,لونوروري,,,
LHE,Lahore,لاهور,,,
YLH,Lansdowne House,لانسداون هاوس,,,
LBE,Latrobe,لاتروب,,,
KYZ,Kyzyl,كيزيل,,,
CXI,Kiritimati,كيريتيماس,,,
CWB,Curitiba,كوريتيبا,,,
TGG,Kuala Terengganu,كوالا تيرينجانو,,,
YQC,Quaqtaq,كواكتاك,,,
KRK,Krakow,كراكوف,,,
CAL,Campbeltown,كامبيلتاون,,,
CLO,Cali,كالي,,,
YYC,Calgary,كالجاري,,,
YFH,Fort Hope,فورت هوب,,,
YXJ,Fort st john,فورت سانت جون,,,
FEZ,Fez,فاس,,,
GLH,Greenville,غرينفيل,,,
GRZ,Graz,غراتس,,,
XNN,Xining,شينينغ,,,
IAG,Niagara Falls,شلالات نياجرا,,,
SVC,Silver City,سيلفر سيتي,,,
SJJ,Sarajevo,سراييفو,,,
YYT,St Johns,سانت جونز,,,
SAP,San Pedro Sula,سان بيدرو سولا,,,
SVU,Savusavu,سافوسافو,,,
REK,Reykjavik,ريكيافيك,,,
ROW,Roswell,روزويل,,,
DSN,Dongsheng,دونغ شنغ,,,
DDC,Dodge City,دودج سيتي,,,
KKC,Khon Kaen,خون كاين,,,
GRO,Gerona,جيرونا,,,
JOS,Jos,جوس,,,
GKA,Goroka,جوروكا,,,
JGA,Jamnagar,جامناجار,,,
TOF,Tomsk,تومسك,,,
CUU,Chihuahua,تشيهواهوا,,,
CIH,Changzhi,تشانغ تشى,,,
TMP,Tampere,تامبيري,,,
TCQ,Tacna,تاكنا,,,
YYF,Penticton,بينتيكتون,,,
PVH,Porto velho,بورتو فيلهو,,,
PHO,Port Moller,بورت مولر,,,
BXU,Butuan,بوتوان,,,
BBI,Bhubaneswar,بوبانسوار,,,
BWA,Bhairawa,بهايراهاوه,,,
BER,Berlin,برلين,,,
YBK,Baker Lake,بحيرة بيكر,,,
BKK,Bangkok,بانكوك,,,
OSA,Osaka,أوساكا,,,
UAP,Ua Pou,أوا,,,
AES,Alesund,أليسوند,,,
IFN,Isfahan,أصفهان,,,
YXX,Abbotsford,أبوتسفورد,,,
JTC,Bauru,,,,
DRK,Puntarenas,,,,
TWA,Twin Hills,,,,
