carrier_code,carrier_name,icoa_code,pnr_link,webcheckin_url
"NB","Sterling  Airlines","SNB","http://www.sterling.dk/","http://www.sterling.dk/"
"PW","Precision Air","PRF","https://www.precisionairtz.com/index.php?id=17","https://www.precisionairtz.com/index.php?id=17"
"SD","Sudan Airways Co","SUD","http://www.sudanair.com/en/","http://www.sudanair.com/en/index.php"
"TR","Tiger Airways","TGW","http://booking.tigerairways.com/RetrieveBooking.aspx","http://booking.tigerair.com/WebCheckIn.aspx?culture=en-GB&gaculture=INEN"
"XQ","SunExpress","SXS","http://www.sunexpress.com/","http://www.sunexpress.com/en/before-the-journey/check-inonline-check-in"
"RJ","Royal Jordanian","RJA","http://www.rj.com/en","http://www.rj.com/en/get_your_boarding_pass_online.html"
"K2","किर्गिज़स्तान एयरलाइंस","ELO","http://eurolot.com/en/","http://eurolot.com/en/checkin.html"
"CO","Continental","COA","http://www.united.com/web/en-US/apps/reservation/default.aspx","http://www.united.com/travel/checkin/start.aspx"
"JQ","Jetstar","JST","http://booknow.jetstar.com/RetrieveBooking.aspx","https://checkin.jetstar.com/"
"LM","लिविंग्स्टन","LOG","http://www.loganair.co.uk/","http://www.loganair.co.uk/service-info/british-airways/check-in-times"
"LW","Pacific Wings","NMI","http://www.pacificwings.com/nma/nm/index.asp","http://www.pacificwings.com/nma/nm/index.asp"
"PB","Provincial Air","SPR","https://www.provincialairlines.ca/","https://www.provincialairlines.ca/fly-right/check-in-boarding/check-in/"
"PK","Pakistan Intl Air","PIA","http://www.piac.com.pk/","http://www.piac.com.pk/PIA_Experience/pia-experience_easycheckin.asp"
"PY","Surinam Airways","SLM","http://www.slm.firm.sr/","https://wn.dsolution.eu/slm/dsuite/ici/search.aspx?lan=EN"
"AE","Mandarin Airlines","MDA","http://www.mandarin-airlines.com/english/","http://www.mandarin-airlines.com/english/airport.htm"
"BJ","Nouvelair","LBT","http://www.nouvelair.com/en","http://www.nouvelair.com/en"
"LB","Air Costa","LEP","http://www.aircosta.in/ebooking/Booking/Retrieve-Booking.aspx","http://www.aircosta.in/webcheckin/searchpax.aspx"
"MA","Malev Hungarian","MAH","http://malev.com","http://malev.com"
"RB","Syrian Arab Air","SYR","http://www.syriaair.com/SAA/Homepage.aspx","http://www.syriaair.com/SAA/Homepage.aspx"
"AS","अलास्का एयरलाइंस","ASK","http://www.alaskaair.com/","https://webselfservice.alaskaair.com/checkinweb/default.aspx?language=en_US&lid=nav:travelInfo-checkIn%20{On-Click%20tag}"
"XG","क्लीकएयर","NAO","http://www.flynaa.com/","http://www.flynaa.com/"
"SP","SATA - Air Acores","SAT","http://www.sata.pt/en","http://www.sata.pt/en/travel-with-us/web-check"
"TA","Taca Intl Air","TAI","http://www.tacaairlines.co.uk/","http://www.tacaairlines.co.uk/"
"EY","Etihad Airways","ETD","http://www.etihad.com/en/before-you-fly/manage-my-booking/","http://www.etihadairways.com/sites/Etihad/eu/en/_layouts/Etihad/obe/Webcheckin.aspx"
"GE","TransAsia Corp","TNA","http://www.tna.com.tw/","https://calec.tna.com.tw/geeck/echeckin_e.asp"
"KM","Air Malta","AMC","http://www.airmalta.com/","http://www.airmalta.com/information/check-in/online-check-in"
"KX","Cayman Airways","CAY","https://www.caymanairways.com/","https://www.caymanairways.com/index.php?pageId=223"
"LJ","जिन एयर","JNA","http://www.jinair.com/Default.aspx","http://www.jinair.com/Default.aspx"
"RO","Tarom","ROT","http://www.tarom.ro/en/","https://www.tarom.ro/en/flights-and-reservations/online-check-in/"
"TU","Tunisair","TAR","http://www.tunisair.com.tn/","http://www.tunisair.com.tn/"
"UT","UTair","TMN","http://www.utair.ru/en/","http://www.utair.ru/en/"
"VS","Virgin Atlantic","VIR","http://www.virgin-atlantic.com/us/en.html","https://www.virgin-atlantic.com/us/en/manage-your-flights/verify-checkin.html"
"W6","Wizz Air","WZZ","http://wizzair.com/en-GB/Search","http://wizzair.com/en-GB/useful_information/web_check-in"
"WF","Wideroes Fly","WIF","http://www.wideroe.no/en","http://www.wideroe.no/en"
"WM","Windward Is Intl","WIA","http://www.fly-winair.sx/","https://wn.dsolution.eu/winair/dsuite/ici/search.aspx"
"WO","World Airways","WOA","http://www.worldairways.com/","http://www.worldairways.com/"
"XF","Vladivostok Air","VLK","http://www.vladivostokavia.ru/ru/","http://www.vladivostokavia.ru/ru/"
"CN","ग्रांड चाईना एयर","GDC","http://www.grandchinaair.com/","http://www.grandchinaair.com/"
"0D","Darwin Airlines","DWT","http://www.etihadregional.com/en/index.html","http://www.etihadregional.com/en/web_check-in.html"
"4U","Germanwings","GWI","https://www.germanwings.com/skysales/BookingList.aspx?culture=en-GB","https://www.germanwings.com/skysales/WebCheckIn.aspx?culture=en-GB"
"BE","FlyBe","BEE","http://www.flybe.com/","http://www.flybe.com/cam/initCheckIn.do"
"BR","EVA Corporation","EVA","http://www.evaair.com/en-global/investor-relations/corporate-profile/","http://www.evaair.com/en-global/investor-relations/corporate-profile/"
"D7","Air Asia X","XAX","https://booking.airasia.com/BookingListLogin.aspx?redirect=1&sso=1","http://www.airasia.com/in/en/home.page?gclid=CPbPwt-Ql74CFZcWjgodExUAzg#"
"E3","Domodedovo Air","DMO","http://www.domodedovo.ru/en/","http://www.domodedovo.ru/en/"
"F9","Frontier","FFT","http://frontier.com/","https://checkin.flyfrontier.com/webcheckin/(S(mv0rjy55lmua1r55z5zctryg))/FindReservation.aspx"
"FW","औबेक्स एयरलाइंस","IBX","http://www.ibexair.co.jp/","http://www.ibexair.co.jp/"
"JM","Air Jamaica","AJM","http://www.airjamaica.com/","http://www.airjamaica.com/"
"LV","Albanian MAK SHPK","LBC","http://www.albanianair.com/","http://www.albanianair.com/"
"MI","SilkAir (S) Pte","SLK","http://www.silkair.com/SAA-flow.form?execution=e3s1","http://www.silkair.com/checkIN-flow.form?execution=e4s1"
"RA","Royal Nepal Corp","RNA","http://www.nepalairlines.com.np/","http://www.nepalairlines.com.np/"
"T3","Eastern Airways","EZE","http://www.easternairways.com/","http://www.easternairways.com/"
"TC","Air Tanzania","ATC","http://www.airtanzania.co.tz/","http://www.airtanzania.co.tz/"
"UX","Air Europa","AEA","http://www.aireuropa.com/waeam/xwaea/1/reservas/xreserva_v7.home.html","http://www.aireuropa.com/waeam/xwaea/1/facturacion/xfacturacion_v7.inicio_embarque.html?p_codidi=IT&p_codmer=IT"
"ZI","Aigle Azur","AAF","http://www.aigle-azur.com/en","https://checkin.si.amadeus.net/1ASIHSSCWEBZI/sscwzi/checkin?ln=en"
"CI","China Airlines","CAL","http://www.china-airlines.com/en/index.html","https://calec.china-airlines.com/echeckin/echeckin_e.asp"
"FI","Icelandair","ICE","http://www.icelandair.us/","https://checkin.si.amadeus.net/1ASIHSSCWEBFI/sscwfi/checkin?IIdentificationBookingRef=&ln=en"
"GR","Aurigny Air","AUR","http://www.aurigny.com/","http://www.aurigny.com/"
"IE","Solomon Airlines","SOL","http://www.flysolomons.com/","http://www.flysolomons.com/index.php?option=com_content&view=article&id=107:check-in&catid=69&Itemid=30"
"IG","Meridiana","ISS","https://www.meridiana.it/home/index/en/","https://www.meridiana.it/seatwci/RecallPNR.aspx?language=en"
"MX","Mexicana","MXA","http://www.aeromexico.com/mx/welcome.html","http://www.aeromexico.com/mx/tu-vuelo/comprando-tu-vuelo/web-check-in/index.html"
"PS","Ukraine Intl Air","AUI","http://www.flyuia.com/eng/main.html","http://www.flyuia.com/eng/information-and-services/at-the-airport/web-check-in.html"
"S2","JetLite","RSH","http://www.jetkonnect.com/in/pnrstatus.aspx","http://www.jetairways.com/EN/IN/PlanYourTravel/WebCheck-in.aspx"
"SY","Sun Country Air","SCX","http://www.suncountry.com/","https://paxsvc.suncountry.com/SCAPaxServicesWeb/wci/startWebCheckin.do"
"U2","easyJet","EZY","http://www.easyjet.com/en/","http://www.easyjet.com/en/"
"U6","Ural Airlines","SVR","http://www.uralairlines.ru/en/","http://www.uralairlines.ru/en/your-flight/register/"
"UN","ट्रांसएयरो एयरलाइंस","TSO","http://www.transaero.ru/en","http://webcheckin.transaero.ru/en"
"Y9","ट्रांस एयर कांगो","TSG","http://www.kishairline.com/","http://www.kishairline.com/"
"2W","Welcome Luftfahrt","WLC","http://www.welcomeair.com/charter/","http://www.welcomeair.com/charter/"
"3L","InterSky Luftfahrt","ISK","http://www.flyintersky.com/en","https://isk.tikaero.com/webcheckin/default.aspx?langculture=de-de"
"4H","United Airways","UBD","http://www.united.com/web/en-US/apps/reservation/default.aspx","https://www.united.com/travel/checkin/start.aspx?SID=2C5B9EF97B9E468284FBAD4290669BFC&LangCode=en-US"
"BI","Royal Brunei Air","RBA","http://www.flyroyalbrunei.com/","http://www.flyroyalbrunei.com/booking-schedule/online-check-in/"
"CY","Cyprus Airways","CYP","http://cyprusair.com/default.aspx?tabid=843&langid=2","http://cyprusair.com/894,0,0,0,2-Web-Check-in.aspx"
"GF","Gulf Air","GFA","http://www.gulfair.com/English/mmb/Pages/MMBLogin.aspx","http://www.gulfair.com/English/info/Checkin/Pages/WebCheck-in.aspx"
"JU","एयर सर्बिया","ASL","http://www.airserbia.com/sr/moja-rezervacija","http://www.airserbia.com/sr/moja-rezervacija"
"KF","Blue1 Oy","KFB","http://www.blue1charter.fi/en","http://www.blue1charter.fi/en"
"LX","स्विस इंटरनेशनल एयरलाइंस","SWR","http://www.swiss.com/ch/en","http://www.swiss.com/gb/EN/prepare/check-in/web-check-in"
"MF","Xiamen Airlines","CXA","http://www.xiamenair.com/cn/en/","http://www.xiamenair.com/cn/en/traveler/attheairport/11342.shtml"
"NT","Binter Canarias","IBB","https://www.bintercanarias.com/eng","https://www.bintercanarias.com/eng/services/online-check-in"
"UA","United","UAL","http://www.united.com/web/en-US/apps/reservation/default.aspx","https://www.united.com/travel/checkin/start.aspx?SID=2C5B9EF97B9E468284FBAD4290669BFC&LangCode=en-US"
"VY","वुएलींग एयरलाइंस","VLG","http://www.vueling.com/en","https://tickets.vueling.com/SearchWebCheckin.aspx?Culture=en-GB"
"W3","स्वीफ्टएयर","ARA","http://www.arikair.com/ng","http://www.arikair.com/check-and-boarding"
"WY","Oman Air","OAS","http://www.omanair.com/en/","http://www.omanair.com/en/my-bookings/online-check-in"
"Y4","Volaris","VOI","http://volaris.com/","https://reservaciones.volaris.com/Landing/ManageYourBooking?sr=wci&culture=en-US"
"ZB","Monarch Airlines","MON","http://www.monarch.co.uk/","https://bookflights.monarch.co.uk/MemberBookingManager.aspx"
"M9","मोटर सीच","MSI","http://www.motorsich.com/eng/","http://flymotorsich.com/en/webcheck-in/"
"O6","एवीआंका ब्राजील","ONE","http://www.avianca.com.br/ecommerce/","http://www.avianca.com.br/web-check-in1;jsessionid=F051EC6AE98E3DC486AB4C755DBADE14.lr1"
"CT","एटलांटीआ सीटीलाईनर","CYL","http://www.alitalia.com/","http://www.alitalia.com/gb_en/Informazioni-Supporto/checkin/index.html"
"2E","स्मोकी बे एयर","PHW","http://www.smokeybayair.com/","http://www.smokeybayair.com/"
"3J","Jubba Airways","JUB","http://www.jubbaairways.com/passenger-info","http://www.jubbaairways.com/passenger-info"
"7M","Mistral Air","MSA","http://www.mistralair.it/","http://www.mistralair.it/"
"9J","Dana Airlines","DAN","http://www.flydanaair.com/","http://flydanaair.booksecure.net/criteria.aspx"
"A9","Airzena Georgian","TGZ","http://www.airzena.com/","http://www.airzena.com/"
"B8","Eritrean Airlines","ERT","http://www.eritrea.be/old/eritrean-airlines.htm","http://www.eritrea.be/old/eritrean-airlines.htm"
"BX","Air Busan","ABL","http://www.airbusan.com/AB/airbusan/english/main.jsp?loc=en","http://www.airbusan.com/AB/airbusan/english/main.jsp?loc=en"
"CA","कम्युनीटी एयरलाइंस","CCA","http://et.airchina.com.cn/InternetBooking/ReservationSearch.do?lang=en","http://www.airchina.de/en/checkin/"
"EG","Enerjet","ENJ","http://www.enerjet.ca/","http://www.enerjet.ca/"
"GJ","युरोफ्लाय S.p.A.","EEZ","https://www.meridiana.it/home/index/en/","https://www.meridiana.it/home/index/en/"
"HD","Air Do","ADO","http://www.airdo.jp/ap/index.html","http://www.airdo.jp/ap/index.html"
"HV","ट्रांसावीआ एयरलाइंस","TRA","http://www.transavia.com/hv/en-EU/home","http://www.transavia.com/hv/en-EU/home"
"JD","बीजिंग कैपिटल एयरलाइंस","CBJ","http://www.capitalairlines.com.cn/index.jsp","http://www.capitalairlines.com.cn/index.jsp#"
"L5","Linea Aerea Cuencana","LAC","http://www.lacecuador.com/","http://www.lacecuador.com/"
"MM","पीच एवीयेशन","APJ","http://www.flypeach.com/home.aspx","http://www.flypeach.com/airports/howtocheckin.aspx"
"NV","Air Central","CRF","http://www.aircentral.com.au/","http://www.aircentral.com.au/"
"P2","Airkenya Express","XAK","http://www.airkenya.com/","http://www.airkenya.com/"
"PR","Philippine Airlines","PAL","http://www1.philippineairlines.com/flights/manage-booking/","http://www1.philippineairlines.com/flights/web-check/"
"Q6","स्कायट्रांस एयरलाइंस","CDP","http://www.skytrans.com.au/","http://www.skytrans.com.au/"
"SJ","श्रीवीजावा एयर","SJY","http://www.sriwijayaair.co.id/","http://www.sriwijayaair.co.id/"
"TX","Air Caraibes","FWI","http://www.aircaraibes.com/","http://www.aircaraibes.com/"
"XE","ExpressJet  Airlines","BTA","http://www.expressjet.com/","http://www.expressjet.com/"
"YN","Air Creebec","CRQ","http://www.aircreebec.ca/en/sites/AirCreebec3/main.aspx","http://www.aircreebec.ca/en/sites/AirCreebec3/main.aspx"
"CU","क्युबाना डी एवीआसीअन","CUB","http://www.cubana.cu/home/","http://www.cubana.cu/guide/?article=aecheck-in"
"4T","बीलेर एयरलाइंस","BHP","https://www.belair.in/nav/home","http://www.airberlin.com/en-GB/webcheckin/index/index/"
"5C","C.A.L. कार्गो एयरलाइंस","ICL","http://www.cal.co.il/","http://www.cal.co.il/"
"7C","जाजू एयर","COY","http://www.jejuair.net/","http://www.jejuair.net/"
"8D","फिट्स एयर","EXV","http://www.fitsair.com/index.html","http://www.fitsair.com/index.html"
"7F","First Air","FAB","https://firstair.ca/","https://firstair.checkin.sabre.com/7FWebCheckIn/WebCheckIn.html#"
"7R","रसलाईन","BRB","https://www.starflyer.jp/en/","https://www.starflyer.jp/en/"
"8E","Bering Air","BRG","http://www.beringair.com/","http://www.beringair.com/"
"9N","ट्रोपीक एयर","AJV","http://www.tropicair.com/","http://www.tropicair.com/"
"A8","Ameriflight","BGL","http://www.ameriflight.com/","http://www.ameriflight.com/"
"ET","Ethiopian Air","ETH","http://www.ethiopianairlines.com/en/booking/managebooking.aspx","https://ethiopian.checkin.sabre.com/ETWebCheckIn/#"
"FG","Ariana Afghan Airlines","AFG","http://www.flyariana.com/index.asp","http://www.flyariana.com/index.asp"
"FY","Firefly","FFM","http://www.fireflyz.com.my/","http://www.fireflyz.com.my/flights/web-check-in"
"G5","China Express Airlines","HXA","http://www.chinaexpressair.com/","http://www.chinaexpressair.com/"
"GS","Grant Aviation","GCR","http://www.flygrant.com/","http://www.flygrant.com/"
"J4","बद्र एयरलाइंस","BFL","http://www.badrairlines.com/","http://www.badrairlines.com/"
"KE","Korean Air Lines","KAL","http://www.koreanair.com/","http://www.koreanair.com/local/na/gp/eng/tp/wc/eng_wc_main.jsp"
"KR","Air Bishkek","KMZ","http://airbishkek.kg/en/","http://airbishkek.kg/en/"
"LG","Luxair","LGL","https://www.luxair.lu/cms/luxair.php?p=FR,17652,451,,1,","https://www.luxair.lu/cms/page?p=EN,21298,610,,1,,"
"LZ","Belle Air","LBY","http://www.belleaireurope.eu/","http://www.belleaireurope.eu/"
"MM","Peach Aviation","MMZ","http://www.flypeach.com/home.aspx","http://www.flypeach.com/airports/howtocheckin.aspx"
"NY","Air Iceland","FXI","https://www.airiceland.is/","https://checkin.si.amadeus.net/1ASIHSSCWEBFI/sscwfi/checkin"
"PE","Peoples Viennaline","PEV","http://www.peoplesviennaline.ch/","http://www.peoplesviennaline.ch/reisevorbereitung/einchecken/"
"SI","सिएरा पेसिफिक एयरलाइंस","AWS","http://www.blueislands.com/","http://www.blueislands.com/"
"ST","जर्मनीआ","GMI","http://www.flygermania.de/en/","http://www.flygermania.de/en/serviceoint/check-in/"
"6H","ईसरेर एयरलाइंस","ISR","http://www.israirairlines.com/","http://www.israirairlines.com/"
"3R","Moskovia Airlines","GAI","http://www.moskovia.aero/","http://www.moskovia.aero/"
"Q2","मालदीवीअन","DQA","http://www.maldivian.aero/","http://www.maldivian.aero/"
"2G","Angara Airlines","AGU","http://www.angara.aero/","http://booking.angara.aero/ru/web-checkin/reg-data.jsf"
"4K","Kenn Borek Air","KBA","http://www.borekair.com/","http://www.borekair.com/"
"5C","C.A.L. Cargo Airlines","NRR","http://www.cal.co.il/","http://www.cal.co.il/"
"5M","Montserrat Airways","MNT","http://www.flymontserrat.com/","http://www.flymontserrat.com/check-in.php"
"5P","Aerolinea Principal Chile","PCP","http://www.palair.cl/","http://www.palair.cl/"
"7C","Jeju Air","JJA","http://www.jejuair.net/","http://www.jejuair.net/"
"7V","Federal Airlines","FDR","http://www.fedair.com/","http://www.fedair.com/"
"8B","Business Air","BCC","http://www.businessaircenter.com/","http://www.businessaircenter.com/"
"8L","Lucky Air","LKE","http://www.luckyair.net/","http://www.luckyair.net/"
"8M","Myanmar Intl","MMA","http://maiair.com/","http://maiair.com/"
"8T","Air Tindi","TID","http://www.airtindi.com/","http://www.airtindi.com/"
"9N","Tropic Air","TOS","http://www.tropicair.com/","http://www.tropicair.com/"
"AW","Africa World Airlines","AFW","http://www.flyafricaworld.com/","http://www.flyafricaworld.com/"
"B5","East African Safari Air","EXZ","http://www.eastafricansafariair.com/","http://www.eastafricansafariair.com/"
"BK","Okay Airways","OKA","http://bk.travelsky.com/bkair/index.jsp","http://bk.travelsky.com/bkair/index.jsp"
"C7","समरकंद एयरवेज","UZS","http://www.cinnamonair.com/","http://www.cinnamonair.com/"
"C7","Cinnamon Air","CIN","http://www.cinnamonair.com/","http://www.cinnamonair.com/"
"D2","डायनेमीक एयरवेज","SSF","http://www.dynamicaviation.com/","http://www.dynamicaviation.com/"
"DG","साउथ ईस्ट एशियन एयरलाइंस","SRQ","http://www.flyseair.com/","http://www.flyseair.com/"
"DT","TAAG Angola Airlines","DTA","http://www.taag.com/en/home.aspx","http://www.taag.com/en/online-checkin.aspx"
"HW","हेलो","NWL","http://www.north-wrightairways.com/","http://www.north-wrightairways.com/"
"M7","MasAir","MSL","http://www.masair.com/","http://www.masair.com/"
"MY","Maya Island Air","MWA","http://www.mayaislandair.com/","http://www.mayaislandair.com/"
"Q3","ट्रांस एंगुइला एयरवेज","MBN","http://www.transanguilla.com/","http://www.transanguilla.com/"
"SJ","Sriwijaya Air","CGL","http://www.sriwijayaair.co.id/","http://www.sriwijayaair.co.id/"
"SX","Sky Work Airlines","SRK","http://www.flyskywork.com/en","http://www.flyskywork.com/en/flight-information/online-check-in"
"VJ","वीयेटजेट एयर","JTY","http://www.vietjetair.com/Sites/Web/vi-VN/Home","https://ameliaweb3.intelisys.ca/VietJetCI/SearchResCheckin.aspx?lang=vi"
"YT","Yeti Airlines","NYT","http://www.yetiairlines.com/","http://www.yetiairlines.com/"
"R3","Yakutia Airlines","SYL","http://www.yakutia.aero/en/","http://www.yakutia.aero/en/"
"WC","आईलेना एयरलाइंस","ISV","http://www.avianca.com/en-otr/#ws=ta","http://www.avianca.com/en-otr/#ws=ta"
"CG","पापुआ न्यू गिनी","TOK","http://www.apng.com/","http://www.apng.com/"
"T5","Turkmenistan Airlines","TUA","http://turkmenairlines.com/","http://turkmenairlines.com/lang/en/check-in/"
"BF","Bluebird Cargo","BBD","http://www.bluebirdcargo.com/","http://www.bluebirdcargo.com/"
"GL","Air Greenland","GRL","http://www.airgreenland.com/","https://www.airgreenland.com/help/at-the-airport/web-check-in"
"GZ","Air Rarotonga","RAR","http://www.airraro.com/","http://www.airraro.com/"
"HF","Air Cote DIvoire","VRE","http://www.aircotedivoire.com/","http://www.aircotedivoire.com/"
"PL","Southern Air Charters","SOA","http://www.southernaircharter.com/","http://www.southernaircharter.com/"
"PM","CanaryFly","CNF","http://www.canaryfly.es/CNF/index.php","http://www.canaryfly.es/CNF/index.php"
"Q6","Skytrans Airlines","SKP","http://www.skytrans.com.au/","http://www.skytrans.com.au/"
"QN","Air Armenia","ARR","http://www.air.am/","http://www.air.am/"
"RI","टाईगर एयर मंडला","MDL","http://booking.tigerair.com/RetrieveBooking.aspx?culture=en-GB&gaculture=SGEN","http://booking.tigerair.com/WebCheckIn.aspx?culture=en-GB&gaculture=SGEN"
"RZ","सानसा एयरलाइंस","LRS","http://www.flysansa.com/","http://www.flysansa.com/"
"SI","Sierra Pacific Airlines","BCI","http://www.blueislands.com/","http://www.blueislands.com/"
"TLR","Air Libya","TLR","http://www.airlibya.aero/","http://www.airlibya.aero/"
"UJ","अलमस्रीआ यूनिवर्सल एयरलाइंस","GMT","https://www.flyalmasria.com/?lang=English","https://www.flyalmasria.com/?lang=English"
"W3","Swiftair","DNU","http://www.arikair.com/ng","http://www.arikair.com/check-and-boarding"
"WU","Wizz Air Ukraine","WAU","http://wizzair.com/en-GB/Search","http://wizzair.com/en-GB/useful_information/web_check-in"
"XV","BVI Airways","none","http://www.gobvi.com/","https://booksecure.gobvi.com/checkin"
"R7","एसेर्सा एयरलाइंस","OCA","http://www.asercaairlines.com/","http://www.asercaairlines.com/EN-US/Serv02C.aspx"
"XU","अफ्रीकन एक्सप्रेस एयरवेज","AXK","http://www.africanexpress.co.ke/","http://www.africanexpress.co.ke/"
"9R","सेटाना","VAP","http://www.satena.com/inicio","http://booking.satena.com/TTIDOTNET/TRANSPORT/TransportNetFO/satena/WebCheckIn.aspx?masterUserControl=WebCheckIn/UsrWebCheckInStart&taskId=80cee7a2-907c-4ee7-87ab-e2fcff930096&ViewName=WebCheckInStart&GRAPHNAME=WebCheckIn"
"A2","एस्ट्रा एयरलाइंस","AZI","http://www.astra-airlines.gr/frontend/index.php","http://www.astra-airlines.gr/pages.php?cat=3"
"AD","अजुल ब्राजील एयरलाइंस","AZU","http://www.voeazul.com.br/","http://viajemais.voeazul.com.br/CheckinOnLine.aspx"
"BM","British Midland Regional","BMR","http://www.bmiregional.com/en","http://www.bmiregional.com/en#Checkin-Tab"
"DC","Braathens Regional","BRX","http://www.braathensregional.com/","http://www.braathensregional.com/wet-lease-operations/aircraft-charter/check-in"
"DD","Nok Air","NOK","http://www.nokair.com/nokconnext/aspx/Index.aspx","http://www.nokair.com/contents/travel_info/web_check-in/en-US/index.html"
"FO","Felix Airways","FXX","http://www.felixairways.com/","http://www.felixairways.com/"
"J5","अलास्का: सीप्लेन","EPA","http://www.flyalaskaseaplanes.com/","http://www.flyalaskaseaplanes.com/"
"LX","Swiss International Airlines","SWU","http://www.swiss.com/ch/en","http://www.swiss.com/gb/EN/prepare/check-in/web-check-in"
"MS","ईजीप्तएयर एक्सप्रेस","MSR","http://www.egyptair.com/English/Pages/splashpage.aspx","https://checkin.si.amadeus.net/1ASIHSSCWEBMS/sscwms/checkin"
"PC","एयर फिजी लिमिटेड","PGT","http://www.flypgs.com/en/","http://www.flypgs.com/en/fly-with-pegasus/internet-check-in.aspx"
"Q9","Afrinat International Airlines","AFU","http://www.afrinat.com/","http://www.afrinat.com/"
"QF","सन स्टेट एयरलाइंस/क्वेंटसलींक","SSQ","http://www.qantas.com.au/travel/airlines/home/au/en","http://www.qantas.com.au/travel/airlines/checkin/global/en#online-check-in"
"QF","Sunstate  Airlines /Qantaslink","QFA","http://www.qantas.com.au/travel/airlines/home/au/en","http://www.qantas.com.au/travel/airlines/checkin/global/en#online-check-in"
"QU","UTair-Ukraine","UTN","http://www.utair.ua/en/","http://booking.utair.ua/is2009/web-checkin/conditions.jsf#"
"TW","Tway Airlines","TWB","http://www.twayair.com/","http://www.twayair.com/"
"UP","Bahamasair","BHS","http://bahamasair.com/","http://bahamasair.com/"
"VB","एयरोएनलासेस नेशिओनेल","VIV","https://www.vivaaerobus.com/","https://www.vivaaerobus.com/"
"VJ","VietJet Air","VJC","http://www.vietjetair.com/Sites/Web/vi-VN/Home","https://ameliaweb3.intelisys.ca/VietJetCI/SearchResCheckin.aspx?lang=vi"
"VP","VASP Viação Aérea São Paulo","VSP","http://www.aviacaocomercial.net/vasp.htm","http://www.aviacaocomercial.net/vasp.htm"
"W3","Swiftair","SWT","http://www.arikair.com/ng","http://www.arikair.com/check-and-boarding"
"WEW","West Wind Aviation","WEW","http://www.westwindaviation.ca/","http://www.westwindaviation.ca/"
"ZA","SKYWINGS ASIA AIRLINES","SWM","http://www.skywingsair.com/kr/","http://www.skywingsair.com/kr/"
"ZE","Arcus-Air Logistic","ESR","http://www.arcus-air.com/","http://www.arcus-air.com/"
"BW","Carribean Airlines","BWA","https://www.caribbean-airlines.com/","https://fastcheck.sita.aero/cce-presentation-web-bw/entryUpdate.do"
"GK","Jetstar Japan","JJP","http://www.jetstar.com/au/en/home","http://www.jetstar.com/au/en/planning-and-booking/checking-in/web-check-in"
"IZ","Arkia Israeli","AIZ","http://www.arkia.com/","http://www.arkia.com/"
"J2","अज़रबैजान एयरलाइंस","AHY","http://www.azal.az/","https://flyazal.mobi/itravel/occi.xhtml"
"J4","Badr Airlines","BDR","http://www.badrairlines.com/","http://www.badrairlines.com/"
"JC","JAL Express","JEX","https://www.jal.co.jp/en/dom/","https://www.jal.co.jp/en/dom/"
"JO","JALways Co. Ltd.","JAZ","http://www.jal.co.jp/inter/","http://www.jal.co.jp/inter/"
"JV","बीयर्स्कीन एयरलाइंस","BLS","http://www.bearskinairlines.com/index.shtml","http://www.bearskinairlines.com/check_in_policy.shtml"
"KO","KHORS Air","AER","http://www.khors.com.ua/","http://www.khors.com.ua/"
"KQ","Kenya Airways","KQA","http://www.kenya-airways.com/","http://www.kenya-airways.com/checkin/kqwap_checkin.aspx"
"KY","Kunming Airlines","KNA","http://www.airkunming.com/","http://www.airkunming.com/"
"LT","LTU  InternationalAirways","LTU","https://www.airberlin.com/en-US/cockpit","http://www.airberlin.com/en-US/site/landingpages/eservices.php?cat=4"
"MK","Air Mauritius","MAU","http://www.airmauritius.com/index_mu.htm","https://checkin.si.amadeus.net/1ASIHSSCWEBMK/sscwmk/checkindirect?DPS=jw&LANG=en&MKT=nl&fromurl=http%3A%2F%2Fwww.airmauritius.com&ICI_FORM_ID=searchCriteriaForm&identSearch=y&identDataSpecified=y&fullIdentSearch=n&identType=ET&identAirlineCode=MK&identNum"
"MU","China Eastern Air","CES","http://www.flychinaeastern.com/","http://hk.ceair.com/muovc/front/checkin/checkin!doInit.shtml"
"SK","स्कैंडिनेवियाई एसएएस","SAS","http://www.flysas.com/en/Generic/Services/Find-booking/","https://www.sas.se/en/misc/services/check-in/"
"TP","TAP Portugal","TAP","http://www.flytap.com/","http://www.flytap.com/Portugal/en/PlanBook/PrepareforTravel/Checkin/CheckinOnline"
"TS","Air Transat","TSC","http://www.airtransat.ca/en/Home.aspx?__utma=165114287.1278893420.1399548252.1399548252.1399548252.1&__utmb=165114287.3.10.1399548252&__utmc=165114287&__utmx=-&__utmz=165114287.1399548252.1.1.utmcsr%3dgoogle%7cutmccn%3d(organic)%7cutmcmd%3dorganic%7cutmct","http://www.airtransat.ca/en-CA/Travel-information/Airports-and-check-in/Online-check-in"
"VA","Virgin Australia","VOZ","http://www.virginaustralia.com/au/en/bookings/manage-my-bookings/retrieve-booking-details/","http://www.virginaustralia.com/au/en/bookings/manage-my-bookings/check-in/"
"WJ","Labrador Limited","LAL","http://www.airlabrador.com/home/","http://www.airlabrador.com/home/"
"YR","ग्रांड कैन्यन एयरलाइंस","CVU","http://www.grandcanyonairlines.com/","http://www.grandcanyonairlines.com/"
